,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
115,BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,1687129027,1687129188,1,161.0,2323.47421875,7876.810546875,4092.7734375,9980
116,BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,1687128856,1687129018,1,162.0,3112.10703125,8716.3154296875,5715.39296875,11499
117,BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,1687128170,1687128333,1,163.0,4461.303125,9917.020703125,8760.480859375,15015
118,BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,1687128512,1687128672,1,160.0,1615.90546875,7145.821484375,2350.87421875,7760
119,BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,1687128342,1687128503,1,161.0,2306.2671875,7882.1552734375,3923.66796875,9759
120,BNG(kr-vs-kp)_OpenML,1000000,36,1687101121,1687101291,1,170.0,6766.4265625,12925.48828125,13277.08828125,20697
121,BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1687101301,1687101480,1,179.0,10479.97109375,16587.0462890625,20340.3796875,27810
122,BNG(labor)_OpenML,1000000,16,1687112660,1687112822,1,162.0,1218.24453125,5987.6044921875,1767.751953125,6008
123,BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,1687129198,1687129360,1,162.0,683.659375,6293.09375,713.38515625,6293
124,BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,1687129540,1687129702,1,162.0,672.12109375,6292.95703125,763.4515625,6311
125,BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,1687129369,1687129531,1,162.0,684.9734375,6302.0859375,755.51796875,6302
126,BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,1687130224,1687130386,1,162.0,689.63671875,6308.08984375,741.49609375,6309
127,BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,1687130566,1687130727,1,161.0,672.828125,6307.0078125,803.4609375,6308
128,BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,1687130394,1687130557,1,163.0,676.627734375,6302.0537109375,949.45234375,6303
129,BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,1687129711,1687129872,1,161.0,671.6609375,6301.953125,702.41796875,6303
130,BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,1687130053,1687130215,1,162.0,691.20703125,6307.078125,746.05,6313
131,BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,1687129882,1687130044,1,162.0,678.36171875,6295.01171875,734.42578125,6296
