,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Median,Memory_Physical_Median,Memory_Virtual_Median,Memory_Max,Memory_Physical_Max,Memory_Virtual_Max
82,30mlday_OpenML,300000,24,1686287561.0,1686287581.0,1,20.0,37389.595318,6079.217188,31310.37813,41268.024224,7871.246094,33396
83,Porto_Seguro_Safe_Driver_Prediction_2nd_Place_Lightgbm_Solution_OpenML,595212,223,1686287624.0,1686287694.0,1,70.0,36739.3042945,5895.390234500001,30843.91406,38101.431248,6425.517188,31675
84,SGEMM_GPU_kernel_performance_OpenML,241600,17,1686287723.0,1686287735.0,1,12.0,34825.403521,4679.825391,30145.57813,34857.92813,4712.35,30145
85,SGEMM_GPU_kernel_performance_OpenML,241600,14,1686289554.0,1686289566.0,1,12.0,52907.996871,5078.563281,47829.43359,52932.203121,5102.769531,47829
86,medical_charges_OpenML,188806,12,1686289582.0,1686289590.0,1,8.0,52685.351559,4855.917969,47829.43359,52714.561715,4885.128125,47829
87,covertype_OpenML,423680,54,1686289604.0,1686289642.0,1,38.0,52853.2699245,4936.5589844999995,47916.71094,52982.440236999995,5065.729297,47916
88,covertype_OpenML,566602,10,1686289660.0,1686289726.0,1,66.0,52793.810153,4964.376563,47829.43359,52947.363278000004,5117.929688,47829
89,covertype_OpenML,566602,10,1686289745.0,1686289812.0,1,67.0,52946.374996,5117.941406,47828.43359,53056.617184,5228.183594,47828
90,covertype_OpenML,566602,10,1686289829.0,1686289895.0,1,66.0,52946.128903000004,5117.695313,47828.43359,53056.457028000004,5228.023438,47828
91,Higgs_OpenML,940160,24,1686289950.0,1686290132.0,1,182.0,53297.546877999994,5311.304688,47986.24219,53297.776174,5311.533984,47986
92,nyc-taxi-green-dec-2016_OpenML,581835,9,1686290141.0,1686290210.0,1,69.0,52979.390621,5151.957031,47827.43359,53049.304684,5221.871094,47827
93,medical_charges_OpenML,163065,3,1686290217.0,1686290222.0,1,5.0,52999.8449185,5172.4113285,47827.43359,53036.843746,5209.410156,47827
94,nyc-taxi-green-dec-2016_OpenML,581835,9,1686290230.0,1686290298.0,1,68.0,52980.164059,5152.730469,47827.43359,53047.507809,5220.074219,47827
95,medical_charges_OpenML,163065,3,1686290306.0,1686290311.0,1,5.0,53000.3376915,5172.9041015,47827.43359,53038.160153000004,5210.726563,47827
96,year_OpenML,515345,90,1686290385.0,1686290440.0,1,55.0,53807.640624,5355.277344,48452.36328,54282.685548,5653.392578,48629
97,covertype_OpenML,423680,54,1686290456.0,1686290493.0,1,37.0,53628.781252999994,5266.070313,48362.71094,53724.258986999994,5361.548047,48362
98,road-safety_OpenML,111762,32,1686290500.0,1686290503.0,1,3.0,53487.136715,5211.703125,48275.43359,53489.226559,5213.792969,48275
99,black_friday_OpenML,166821,9,1686290508.0,1686290514.0,1,6.0,53473.145309,5197.711719,48275.43359,53475.050778000004,5199.617188,48275
100,nyc-taxi-green-dec-2016_OpenML,581835,10,1686290523.0,1686290610.0,1,87.0,105062.65937000001,29107.22578,75955.43359,158402.00391,53748.97031,104653
101,Allstate_Claims_Severity_OpenML,188318,124,1686290625.0,1686290633.0,1,8.0,53684.032818,5318.517188,48365.51563,54182.356252,5665.401172,48516
102,nyc-taxi-green-dec-2016_OpenML,581835,16,1686290641.0,1686290709.0,1,68.0,53511.417965,5234.984375,48276.43359,53612.742184,5336.308594,48276
103,black_friday_OpenML,166821,9,1686290714.0,1686290720.0,1,6.0,53526.579684,5251.146094,48275.43359,53528.49609,5253.0625,48275
104,nyc-taxi-green-dec-2016_OpenML,581835,10,1686290727.0,1686290813.0,1,86.0,104718.17108999999,28948.3375,75769.83359,157894.16407,53503.53047,104390
105,Allstate_Claims_Severity_OpenML,188318,124,1686290830.0,1686290838.0,1,8.0,54161.688286000004,5540.172656,48621.51563,54659.861721,5886.906641,48772
106,nyc-taxi-green-dec-2016_OpenML,581835,16,1686290847.0,1686290914.0,1,67.0,53512.191403000004,5235.757813,48276.43359,53616.316403000004,5339.882813,48276
107,particulate-matter-ukair-2017_OpenML,394299,6,1686290921.0,1686290950.0,1,29.0,53509.792965,5234.359375,48275.43359,53551.394528000004,5275.960938,48275
108,SGEMM_GPU_kernel_performance_OpenML,241600,9,1686290956.0,1686290968.0,1,12.0,53519.7792935,5244.3457035,48275.43359,53547.691403000004,5272.257813,48275
109,Higgs_OpenML,940160,24,1686291016.0,1686291193.0,1,177.0,53841.113284,5407.871094,48433.24219,54190.269532,5589.176172,48601
110,covertype_OpenML,566602,10,1686291214.0,1686291278.0,1,64.0,53596.253121,5320.819531,48275.43359,53681.124996,5405.691406,48275
111,Higgs_OpenML,940160,24,1686291343.0,1686291517.0,1,174.0,53994.183595999995,5560.941406,48433.24219,54377.09297,5760.21875,48616
112,covertype_OpenML,566602,10,1686291535.0,1686291599.0,1,64.0,53679.140621,5403.707031,48275.43359,53792.523434,5517.089844,48275
113,covertype_OpenML,566602,10,1686291616.0,1686291680.0,1,64.0,53678.972653000004,5403.539063,48275.43359,53792.585934,5517.152344,48275
114,Higgs_OpenML,940160,24,1686291743.0,1686291917.0,1,174.0,54217.820315,5560.578125,48657.24219,54217.820315,5560.578125,48657
115,nyc-taxi-green-dec-2016_OpenML,581835,9,1686291926.0,1686291993.0,1,67.0,53901.855465,5402.421875,48499.43359,53965.417965,5465.984375,48499
116,medical_charges_OpenML,163065,3,1686292000.0,1686292005.0,1,5.0,53914.0468715,5414.6132815,48499.43359,53919.30859,5419.875,48499
117,covertype_OpenML,423680,54,1686292019.0,1686292055.0,1,36.0,54077.027345999995,5490.316406,48586.71094,54210.155471,5623.444531,48586
118,road-safety_OpenML,111762,32,1686292062.0,1686292065.0,1,3.0,53933.5968715,5434.163281499999,48499.43359,53935.46484,5436.03125,48499
119,Credit_Card_Fraud_Detection_OpenML,284807,30,1686292113.0,1686292129.0,1,16.0,53903.843746,5404.410156,48499.43359,54092.445309,5593.011719,48499
120,sgemm_gpu_kernel_performance_OpenML,241600,14,1686292161.0,1686292172.0,1,11.0,53905.078121,5405.644531,48499.43359,53944.924996,5445.491406,48499
121,nyc_taxi_green_OpenML,581835,18,1686292181.0,1686292247.0,1,66.0,53904.27734,5404.84375,48499.43359,53976.51484,5477.08125,48499
122,road-safety_OpenML,111762,32,1686292255.0,1686292258.0,1,3.0,53935.1667935,5435.7332035,48499.43359,53937.050778000004,5437.617188,48499
123,Allstate_Claims_Severity_OpenML,188318,124,1686292281.0,1686292288.0,1,7.0,54089.660161,5501.144531,48588.51563,54211.705864,5623.190234,48588
124,medical_charges_OpenML,163065,3,1686292294.0,1686292299.0,1,5.0,53924.139058500004,5424.7054685,48499.43359,53929.031246,5429.597656,48499
125,fars_OpenML,100959,29,1686292304.0,1686292306.0,1,2.0,53935.238278000004,5435.804688,48499.43359,53935.238278000004,5435.804688,48499
126,hcdr_OpenML,244280,69,1686292330.0,1686292342.0,1,12.0,54039.324224,5475.589844,48563.73438,54154.113286,5590.378906,48563
127,airlines_OpenML,539383,7,1686292350.0,1686292406.0,1,56.0,53910.410153000004,5410.976563,48499.43359,53974.914059,5475.480469,48499
