Filename,Row,Columm,Mode,System,Time,ARI
MiniBooNE_OpenML,72998,50,SS,Thelma,24.014289379119873,3.801095645310526e-06
jannis_OpenML,57580,54,SS,Thelma,20.445605039596558,0.019730983890001372
MiniBooNE_OpenML,72998,50,SS,Thelma,23.928308248519897,3.801095645310526e-06
MiniBooNE_OpenML,72998,50,SS,Thelma,23.937647342681885,3.801095645310526e-06
jannis_OpenML,57580,54,SS,Thelma,20.620665788650513,0.019730983890001372
road-safety_OpenML,111762,32,SS,Thelma,17.69336223602295,0.01765654437427013
mobile_churn_OpenML,66469,65,SS,Thelma,19.75001358985901,0.004876212785406234
video_transcoding_OpenML,68784,18,SS,Thelma,8.346518754959106,5.137347402885218e-05
wave_energy_OpenML,72000,48,SS,Thelma,23.411867141723633,1.356880297911632e-09
jannis_OpenML,57580,54,SS,Thelma,20.694592237472534,0.019730983890001372
jannis_OpenML,57580,54,SS,Thelma,20.685596466064453,0.019730983890001372
jannis_OpenML,57580,54,SS,Thelma,19.06839919090271,0.019730983890001372
jannis_OpenML,57580,54,SS,Thelma,20.708945274353027,0.019730983890001372
albert_OpenML,58252,31,SS,Thelma,8.812462329864502,0.0003412433470040054
road-safety_OpenML,111762,32,SS,Thelma,17.533080339431763,0.01765654437427013
Allstate_Claims_Severity_OpenML,188318,124,SS,Thelma,95.86889982223511,1.2153190438960456e-07
fars_OpenML,100959,29,SS,Thelma,14.128052473068237,0.0020868615987275647
kick_OpenML,67212,30,SS,Thelma,11.067085981369019,0.0008353058338569235
road-safety_OpenML,111762,32,SS,Thelma,17.5444176197052,8.453422529977974e-05
Cardiovascular-Disease-dataset_OpenML,70000,11,SS,Thelma,4.792556524276733,0.032355334352244476
Otto-Group-Product-Classification-Challenge_OpenML,61878,93,SS,Thelma,21.52186870574951,3.222436440958883e-05
Dota2-Games-Results-Data-Set_OpenML,102944,116,SS,Thelma,42.13205671310425,1.8950776472804873e-05
SantanderCustomerSatisfaction_OpenML,200000,200,SS,Thelma,268.1916272640228,0.00022707862654030537
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,Thelma,182.74048280715942,0.3166271187930141
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,Thelma,192.60054397583008,0.008740189203842327
BNG(kr-vs-kp)_OpenML,1000000,36,SS,Thelma,195.84339928627014,-0.00018989470622430684
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,Thelma,97.29794764518738,0.1347132258632522
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,Thelma,101.22485280036926,0.0012728932954740979
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,SS,Thelma,141.67568230628967,0.0059945083822118515
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,Thelma,109.28463220596313,0.055998580424881206
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,Thelma,388.8915014266968,0.08089298194390866
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,Thelma,347.81688499450684,0.0005005090949042169
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,Thelma,81.29530930519104,0.0041176147854471105
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,Thelma,81.32897639274597,0.004234137864891284
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,Thelma,242.65276384353638,0.00016798659233334322
BNG(mushroom)_OpenML,1000000,22,SS,Thelma,125.0063865184784,-1.0023389340746431e-05
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,SS,Thelma,153.016987323761,0.00018328441560208977
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,Thelma,125.04139232635498,-0.02077777196997298
BNG(optdigits)_OpenML,1000000,64,SS,Thelma,326.54613399505615,0.00501693170410171
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,Thelma,95.49477028846741,0.009431548455920546
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,SS,Thelma,18.797642469406128,0.04814279545279548
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,Thelma,116.9940345287323,0.023434572037865566
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,Thelma,97.50887179374695,0.07122800030947793
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,SS,Thelma,217.1855251789093,2.818619591727161e-06
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,Thelma,172.02388954162598,-0.00015641338249631416
BNG(segment)_OpenML,1000000,19,SS,Thelma,110.90867185592651,0.16424319853556824
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,Thelma,148.44151043891907,0.06492333178427036
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,SS,Thelma,307.4143657684326,-0.0018794825529271717
BNG(soybean)_OpenML,1000000,35,SS,Thelma,188.4292495250702,0.0007353053337373574
BNG(spambase)_OpenML,1000000,57,SS,Thelma,265.5290148258209,-0.003464277599075346
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,Thelma,85.22326874732971,0.2030542299024038
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,Thelma,86.07108211517334,0.21010221220653583
BNG(trains)_OpenML,1000000,32,SS,Thelma,171.58544731140137,0.004042173914126422
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,Thelma,84.705721616745,0.1521903221648192
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,Thelma,107.20339131355286,0.04076602441439242
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,SS,Thelma,112.37953305244446,-0.02791799119822103
BNG(vote)_OpenML,131072,16,SS,Thelma,10.951159000396729,0.5357845242427092
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,Thelma,143.1385533809662,0.03119829394833565
BNG(ionosphere)_OpenML,1000000,34,SS,Thelma,193.61653208732605,0.17384260755930273
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,SS,Thelma,201.57493662834167,0.14556979925476696
