Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1686971257.4664075,1686977607.2597566,1,6349.793349027634,840.730859375,5615.15078125,1082.91640625,5831
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686977615.2978356,1686983893.4026954,1,6278.104859828949,5445.5677734375,9982.117578125,10726.49375,15415
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1686983902.846525,1686990316.1774127,1,6413.330887794495,900.7666015625,5959.828125,1097.75546875,6132
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1686990325.1438344,1686996678.0618792,1,6352.918044805527,937.5912109374999,5882.515625,1198.575,6114
BNG(segment)_OpenML,1000000,19,1686996686.4015875,1687003517.5642123,1,6831.162624835968,39067.548046875,46804.842578125,86789.722265625,97447
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1687003543.8136053,1687012556.397181,1,9012.583575725555,118879.42265625,156879.01171875,125592.322265625,323383
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1687012594.590731,1687018090.2546723,1,5495.663941383362,1354.003125,6283.19921875,1599.9453125,6449
BNG(soybean)_OpenML,1000000,35,1687018104.8079834,1687023564.226631,1,5459.418647527695,1984.041796875,6618.53125,3090.716796875,7529
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1687024590.8606372,1687030064.8593948,1,5473.998757600784,3571.8765624999996,7635.875,6304.870703125,10352
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1687030072.4756446,1687035551.5530174,1,5479.077372789383,10124.934765625,14193.16484375,19745.55546875,24002
BNG(trains)_OpenML,1000000,32,1687035560.8487394,1687041018.384909,1,5457.536169528961,1435.407421875,5856.52734375,1698.55859375,6096
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1687041025.677286,1687046470.8208508,1,5445.143564939499,4020.1490234375,8094.717968749999,7261.166796875,11319
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1687046478.9939988,1687052067.2592394,1,5588.2652406692505,9313.4578125,13780.35546875,20265.94375,25668
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1687052076.5528016,1687058288.1365745,1,6211.58377289772,11332.933203125,15942.546875,24317.9390625,31373
BNG(vote)_OpenML,131072,16,1687058307.943052,1687058427.3781972,1,119.43514513969421,1126.2509765625,5272.1193359375,1499.0734375,5606
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1687058435.9358294,1687067780.7006078,1,9344.764778375626,113865.21269531251,153636.7185546875,125686.951171875,322741
BNG(ionosphere)_OpenML,1000000,34,1687067816.4324205,1687073791.0115943,1,5974.5791738033295,48224.371484375,52807.959375,125111.08984375,191285
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,1687073818.8043492,1687079185.2098434,1,5366.405494213104,1425.1083984375,5953.24609375,1686.18125,6135
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,1687079193.6203015,1687084633.03242,1,5439.412118434906,1851.3171875,6113.515625,2808.285546875,7048
covertype_OpenML,581012,54,1687085947.7094686,1687089398.865939,1,3451.156470298767,124871.70078125,155360.94140625,125729.597265625,224882
Hyperplane_10_1E-3_OpenML,1000000,10,1687089431.5345838,1687094858.018778,1,5426.484194278717,3560.5484375,7739.63125,8586.0109375,14193
Hyperplane_10_1E-4_OpenML,1000000,10,1687094865.810434,1687100283.9819307,1,5418.171496629715,3584.1595703125004,7707.3875,8606.262109375,14762
LED(50000)_OpenML,1000000,24,1687100292.4189537,1687105723.8110015,1,5431.39204788208,1141.08515625,5656.5234375,1354.9453125,5851
pokerhand_OpenML,829201,10,1687105731.123875,1687109296.8431766,1,3565.719301700592,885.5978515625,4743.1052734375,1084.83125,4881
RandomRBF_0_0_OpenML,1000000,10,1687109303.818742,1687115434.2094944,1,6130.390752315521,54078.107421875,58241.69375,125843.516796875,199846
RandomRBF_10_1E-3_OpenML,1000000,10,1687115463.6338785,1687121458.8326592,1,5995.19878077507,48479.042578125,52668.14453125,125800.365625,191485
RandomRBF_10_1E-4_OpenML,1000000,10,1687121485.2779567,1687127463.2729542,1,5977.994997501373,48537.0875,52717.519921875,125852.894140625,191393
RandomRBF_50_1E-3_OpenML,1000000,10,1687127488.6087909,1687132939.8653507,1,5451.256559848785,2134.1583984375,6320.629296875,4434.296875,9516
RandomRBF_50_1E-4_OpenML,1000000,10,1687132946.954653,1687138425.3488605,1,5478.39420747757,2608.7642578125,6734.4501953125,5534.818359375,10131
covertype_OpenML,110393,54,1687138446.7284749,1687138534.8868976,1,88.15842270851135,870.644140625,5161.208984375,895.803515625,5174
BNG(anneal)_OpenML,1000000,38,1687138543.796169,1687144701.0751295,1,6157.278960466385,4691.4439453125,9573.572265625,8610.59765625,13673
BNG(anneal.ORIG)_OpenML,1000000,38,1687144710.1400628,1687150679.9519887,1,5969.8119258880615,6414.224609375,11214.733203125,11989.16640625,16724
BNG(labor)_OpenML,1000000,16,1687150691.3045702,1687156273.863278,1,5582.558707714081,1306.254296875,5670.50390625,1629.277734375,6019
BNG(letter)_OpenML,1000000,16,1687156282.3871489,1687161802.3988442,1,5520.011695384979,1082.149609375,5793.984375,1255.249609375,5970
BNG(autos)_OpenML,1000000,25,1687161811.5635278,1687167388.7241,1,5577.1605722904205,1106.21640625,6172.7890625,1297.141796875,6343
BNG(lymph)_OpenML,1000000,18,1687167396.6443005,1687173141.3753629,1,5744.731062412262,1152.792578125,5703.625,1451.421484375,5993
BNG(mfeat-karhunen)_OpenML,1000000,64,1687175553.2396035,1687180987.4916277,1,5434.252024173737,1392.252734375,7464.02734375,1585.36796875,7635
BNG(bridges_version1)_OpenML,1000000,12,1687180994.5157762,1687186384.2752657,1,5389.759489536285,995.6990234375,4994.015625,1194.265234375,5165
BNG(mfeat-zernike)_OpenML,1000000,47,1687186423.9930396,1687191874.8054492,1,5450.8124096393585,1059.0125,2732.529296875,1271.226953125,2900
BNG(colic.ORIG)_OpenML,1000000,27,1687191883.3721266,1687197348.7245634,1,5465.35243678093,1242.803125,5945.4921875,1438.75,6120
BNG(colic)_OpenML,1000000,22,1687197357.3051157,1687202789.7521272,1,5432.447011470795,1162.496484375,5871.92578125,1355.03359375,6041
BNG(credit-a)_OpenML,1000000,15,1687202797.576267,1687208215.0040345,1,5417.4277675151825,1089.951953125,5419.97265625,1286.452734375,5595
BNG(page-blocks)_OpenML,295245,10,1687208221.396952,1687208677.3953116,1,455.9983596801758,808.5515625,4618.315625,888.1890625,4656
BNG(credit-g)_OpenML,1000000,20,1687208685.629714,1687214125.639578,1,5440.009864091873,1154.51875,5616.72265625,1366.73671875,5789
BNG(pendigits)_OpenML,1000000,16,1687214134.3431723,1687219596.7543037,1,5462.4111313819885,1094.891796875,5863.29296875,1296.398046875,6041
BNG(cylinder-bands)_OpenML,1000000,39,1687219606.4221182,1687225127.2947266,1,5520.872608423233,1204.5728515625,6335.28515625,1562.296875,6503
BNG(dermatology)_OpenML,1000000,34,1687225135.8703008,1687231174.9763632,1,6039.106062412262,1141.5632812499998,5834.13828125,1303.498828125,5999
BNG(sonar)_OpenML,1000000,60,1687231187.892413,1687237255.5496995,1,6067.657286643982,3926.4705078125,10254.6875,10065.669140625,18807
BNG(heart-c)_OpenML,1000000,13,1687237273.9316585,1687243258.0546122,1,5984.122953653336,917.2388671875,5213.078125,1113.25078125,5387
BNG(heart-statlog)_OpenML,1000000,13,1687243265.7709672,1687249237.6038923,1,5971.832925081253,907.753125,5231.23828125,1089.65078125,5407
BNG(vehicle)_OpenML,1000000,18,1687249247.535585,1687255473.3937027,1,6225.858117818832,899.29453125,6190.32421875,1097.9734375,6363
BNG(hepatitis)_OpenML,1000000,19,1687255482.1122973,1687261686.5976834,1,6204.485386133194,907.38828125,5730.63671875,1085.07578125,5897
BNG(waveform-5000)_OpenML,1000000,40,1687261699.1510022,1687267814.61809,1,6115.4670877456665,946.7490234375,6756.5859375,1136.74453125,6924
BNG(zoo)_OpenML,1000000,16,1687267823.122233,1687274730.8420014,1,6907.71976852417,45781.328515625,53908.2255859375,107941.962890625,122188
20_newsgroups.drift_OpenML,399940,1001,1687274800.5043676,1687275608.117392,1,807.6130244731903,4032.21875,12189.3671875,5197.388671875,13378
BNG(primary-tumor)_OpenML,1000000,17,1687282866.49119,1687288351.7051992,1,5485.214009284973,8873.3046875,13267.21796875,17434.06796875,21770
BNG(solar-flare)_OpenML,663552,12,1687288358.6620233,1687290744.3310604,1,2385.669037103653,11564.8984375,15486.022265625,24723.64609375,30142
BNG(solar-flare)_OpenML,1000000,12,1687290752.1429198,1687296395.074556,1,5642.931636333466,43985.68125,47985.998046875,97780.3859375,111948
BNG(spect_test)_OpenML,1000000,22,1687296406.3518765,1687301857.0891006,1,5450.73722410202,5536.776171875,10036.6171875,11970.076171875,18190
BNG(spectf_test)_OpenML,1000000,44,1687301869.3949268,1687307335.6120696,1,5466.217142820358,1236.44921875,6949.3359375,1492.402734375,7117
BNG(adult)_OpenML,1000000,14,1687307343.4144475,1687312865.0838008,1,5521.669353246689,1104.005859375,5194.17578125,1294.497265625,5365
BNG(satimage)_OpenML,1000000,36,1687312877.8731213,1687319162.8867133,1,6285.013592004776,1022.701171875,6801.08671875,1214.023828125,6967
BNG(wine)_OpenML,1000000,13,1687319179.8236766,1687325311.7229304,1,6131.899253845215,865.6015625,5523.0640625,1052.89453125,5694
BNG(eucalyptus)_OpenML,1000000,19,1687325320.8183084,1687331560.8517165,1,6240.033408164978,877.106640625,5944.40625,1078.0,6117
BNG(wisconsin)_OpenML,1000000,32,1687331572.4760976,1687337800.1977165,1,6227.721618890762,903.6689453125,5960.4609375,1087.95625,6134
BNG(cleveland)_OpenML,1000000,13,1687337808.194104,1687344061.5140903,1,6253.319986343384,830.175,5210.8671875,1017.64296875,5378
BNG(auto_price)_OpenML,1000000,15,1687344071.275874,1687350280.0611527,1,6208.78527879715,816.4376953125,5758.8046875,1008.05703125,5928
BNG(cpu_act)_OpenML,1000000,21,1687350289.6798954,1687356505.6422894,1,6215.9623939991,816.675390625,5700.8375,1003.609375,5871
BNG(pbc)_OpenML,1000000,18,1687356514.872216,1687362760.6554244,1,6245.783208370209,834.153515625,5879.90234375,1024.390234375,6046
BNG(autoHorse)_OpenML,1000000,25,1687362770.4035451,1687369047.7419293,1,6277.338384151459,847.9755859375,6238.1826171875,1040.3703125,6408
BNG(cholesterol)_OpenML,1000000,13,1687369055.737597,1687375226.1415226,1,6170.403925657272,814.1939453125,5223.90078125,998.4,5384
BNG(autoPrice)_OpenML,1000000,15,1687375234.790836,1687381521.057967,1,6286.267130851746,762.97421875,5201.73046875,965.72578125,5372
BNG(pharynx)_OpenML,1000000,10,1687381527.694002,1687387779.46348,1,6251.769478082657,787.028515625,4821.986328125,1020.19765625,5019
BNG(2dplanes)_OpenML,177147,10,1687387785.6647537,1687387994.329648,1,208.66489434242249,586.63203125,3918.0265625,641.176953125,3951
BNG(elevators)_OpenML,1000000,18,1687388004.866673,1687394335.309178,1,6330.442505121231,784.69765625,5363.015625,982.238671875,5528
BNG(cpu_small)_OpenML,1000000,12,1687394349.16623,1687400597.1653106,1,6247.999080657959,739.1841796875001,4845.171875,930.909765625,5011
BNG(pwLinear)_OpenML,177147,10,1687400603.4005148,1687400813.4625275,1,210.06201267242432,567.393359375,3918.5453125,636.2203125,3953
BNG(wine_quality)_OpenML,531441,11,1687400820.171357,1687402523.8246017,1,1703.6532447338104,642.296875,4412.91796875,759.50234375,4488
BNG(Australian)_OpenML,1000000,14,1687402531.9257357,1687408956.64509,1,6424.719354391098,14702.059375,19352.2275390625,30599.68046875,38278
BNG(satellite_image)_OpenML,1000000,36,1687408982.172269,1687414381.7335513,1,5399.561282157898,1203.97421875,6250.2109375,1452.983984375,6427
BNG(Ailerons)_OpenML,1000000,40,1687414391.7558565,1687419804.2051132,1,5412.449256658554,1186.609375,5903.7734375,1390.66640625,6073
BNG(libras_move)_OpenML,1000000,90,1687419822.864235,1687425259.7199297,1,5436.855694770813,1894.205078125,7969.91875,2384.877734375,8440
BNG(vowel)_OpenML,1000000,12,1687425266.956149,1687430642.543468,1,5375.587318897247,1001.53203125,5307.75,1214.590234375,5490
BNG(puma32H)_OpenML,1000000,32,1687430653.9993763,1687436090.28846,1,5436.2890837192535,1210.7765625,6083.57109375,1424.267578125,6250
BNG(SPECT)_OpenML,1000000,22,1687436098.3821776,1687442205.2438824,1,6106.861704826355,16437.204296875,21038.634375,43644.230859375,58429
BNG(SPECTF)_OpenML,1000000,44,1687442231.7839217,1687447663.2112708,1,5431.427349090576,1287.146875,6961.09765625,1497.358203125,7137
BNG(JapaneseVowels)_OpenML,1000000,14,1687447681.763587,1687453098.1580975,1,5416.394510507584,929.996875,2619.08203125,1149.716015625,2816
Click_prediction_small_OpenML,149639,11,1687453111.2373536,1687453256.6234562,1,145.3861026763916,2287.9859375,6056.1978515625,3760.730859375,7807
