Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,1686486219,1686486368,1,149,7321.402344,40169.77734,7322.084766,41684
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,1686486024,1686486166,1,142,7321.828125,40169.77734,7369.083984,41777
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1686448501,1686448649,1,148,1847.515625,22897.875,2372.35625,25879
BNG(autos)_OpenML,1000000,25,1686459971,1686460220,1,249,5031.7500005,26587.18359,5135.957813,28263
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686449248,1686449371,1,123,1937.375,23236.29297,2296.922656,26794
BNG(bridges_version1)_OpenML,1000000,12,1686461009,1686461227,1,218,5043.230078,27921.14453,5119.20625,29138
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686449383,1686449506,1,123,1972.421875,23236.30078,2296.540234,24957
BNG(cholesterol)_OpenML,1000000,13,1686474924,1686475085,1,161,6853.820313,36275.27734,6875.734375,36310
BNG(cleveland)_OpenML,1000000,13,1686473749,1686473924,1,175,6848.175781,35810.52734,6870.34375,37367
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1686450147,1686450311,1,164,2151.8390625,23352.76973,2750.472656,24554
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,1686449993,1686450122,1,129,2118.199219,23322.14844,2704.577344,24419
BNG(colic.ORIG)_OpenML,1000000,27,1686461513,1686461665,1,152,4464.584766,27367.142574999998,5087.340625,28011
BNG(colic)_OpenML,1000000,22,1686461704,1686461937,1,233,5028.477344,28023.59375,5132.582031,29420
BNG(cpu_act)_OpenML,1000000,21,1686474216,1686474464,1,248,6873.019531,35993.02734,6873.019531,36022
BNG(cpu_small)_OpenML,1000000,12,1686475723,1686475924,1,201,7000.496094,36978.77734,7233.267188,39324
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1686450576,1686450834,1,258,2955.3087889999997,24201.33594,3055.571875,24277
BNG(credit-a)_OpenML,1000000,15,1686461954,1686462369,1,415,6005.2625,28992.13281,6085.292188,29068
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1686450927,1686451089,1,162,3793.304688,23389.47305,4555.428906,28086
BNG(credit-g)_OpenML,1000000,20,1686462448,1686462635,1,187,4981.683594,27697.91016,5472.862891,30793
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1686451378,1686451499,1,121,3867.75,23438.44141,4206.142188,30959
BNG(cylinder-bands)_OpenML,1000000,39,1686462891,1686463236,1,345,5627.9191405,28797.86016,5717.613281,28866
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1686451519,1686451647,1,128,3840.621094,23406.29688,4191.935938,23758
BNG(dermatology)_OpenML,1000000,34,1686463254,1686463391,1,137,4702.582031,27833.17578,5347.075,28506
BNG(elevators)_OpenML,1000000,18,1686475503,1686475646,1,143,7000.574219,36980.02734,7059.752734,38684
BNG(eucalyptus)_OpenML,1000000,19,1686473324,1686473463,1,139,6846.207031,35491.77734,6846.207031,35534
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686453535,1686453676,1,141,3873.539063,23300.13633,4591.160156,24025
BNG(heart-c)_OpenML,1000000,13,1686463685,1686463893,1,208,5284.973438,29073.84375,5370.4125,29775
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686453689,1686453837,1,148,3873.804688,23325.00313,4517.775,24002
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686454012,1686454139,1,127,3874.734375,23291.62891,4271.485938,23692
BNG(heart-statlog)_OpenML,1000000,13,1686463915,1686464140,1,225,5308.076172,29089.15625,5425.135938,29165
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1686454377,1686454538,1,161,3958.433594,23382.83828,4549.299219,24756
BNG(hepatitis)_OpenML,1000000,19,1686464435,1686464613,1,178,4754.232422,28701.44844,5544.435156,33624
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686454577,1686454943,1,366,5284.864063,24672.39063,5383.19375,24748
BNG(ionosphere)_OpenML,1000000,34,1686454971,1686455280,1,309,4546.314844,23924.68359,4641.836719,24000
BNG(JapaneseVowels)_OpenML,1000000,14,1686477974,1686478123,1,149,7254.710938,39314.52734,7257.832031,47719
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,1686481461,1686481588,1,127,7319.085938,39369.77734,7319.908203,41035
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,1686481752,1686481876,1,124,7318.941406,39369.77734,7319.010156,40551
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,1686481610,1686481736,1,126,7319.878906,39369.77734,7320.051563,40979
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,1686482320,1686482446,1,126,7319.683594,39369.77734,7319.943359,40780
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,1686482606,1686482733,1,127,7319.921875,39369.77734,7320.495703,41465
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,1686482462,1686482589,1,127,7319.695313,39369.77734,7320.584766,41000
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,1686481889,1686482015,1,126,7318.234375,39369.77734,7318.432031,40659
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,1686482181,1686482305,1,124,7318.980469,39369.77734,7319.780469,41195
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,1686482033,1686482160,1,127,7319.097656,39369.77734,7319.728516,41083
BNG(kr-vs-kp)_OpenML,1000000,36,1686447874,1686448019,1,145,1614.527344,21018.24609,2278.834375,21708
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686448037,1686448232,1,195,1836.161719,23160.23086,2192.448438,24630
BNG(labor)_OpenML,1000000,16,1686459585,1686459744,1,159,4189.6136719999995,25417.310545,4819.689063,26038
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,1686482765,1686482892,1,127,7319.785156,39369.77734,7414.703906,40259
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,1686483091,1686483216,1,125,7320.089844,39529.77734,7416.061719,39803
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,1686482927,1686483053,1,126,7320.421875,39529.77734,7320.485938,39569
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,1686483737,1686483864,1,127,7319.625,39689.77734,7443.874609,40398
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,1686484060,1686484185,1,125,7319.515625,39849.77734,7408.888281,40554
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,1686483899,1686484026,1,127,7319.738281,39689.77734,7420.595313,40514
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,1686483254,1686483380,1,126,7319.539063,39689.77734,7319.539063,39729
