Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
mfeat_morphological,2000,7,106108,0.029684534,0.014054979,4.810974836,0.20687175,1.0137918,0.143441242,4.807393789
mfeat_karhunen,2000,65,1503642,0.06796639,0.152847407,1.659899235,0.378170062,2.307020903,0.156594105,2.334127903
mfeat_fourier,2000,77,1713522,0.059230989,0.140577296,2.021095991,0.280218397,2.222380161,0,1.25652504
mfeat_factors,2000,217,2332184,0.107099401,0.202451691,2.170886993,0.370734984,3.052067757,0.204616458,2.357147932
mfeat-zernike,2000,48,1013281,0.000549025,0.14195289,2.552108765,0.00397693,1.73048687,0.138179279,1.867022753
mfeat-pixel,2000,241,1925579,0.080331408,0.15095409,1.877970219,0.412256441,3.099585056,0.149205369,2.662045002
mfeat-morphological,2000,7,94841,0.174121737,0.073263532,4.792124987,0.224631721,1.056445837,0.232029281,8.491678238
mfeat-karhunen,2000,65,1359278,0.092165754,0.00426551,1.660557032,0.001514441,2.164851904,0.00426551,1.451834202
mfeat-fourier,2000,77,1542593,0.017446767,0.004566427,1.95342803,0.107623218,2.176305056,0.004637652,2.821821928
mfeat-factors,2000,217,2332184,0.105726621,0.003689552,1.906911135,0.003816862,3.033169746,0.003690415,2.256223917
mc1,9466,39,1574745,0.004899968,3.23E-05,89.38120699,0.011968136,7.673711061,4.19E-05,130.2912719
madelon,2600,501,7807593,0.005792688,0.003710835,2.805539131,0.001273288,6.200167894,0.003658428,3.145905018
madeline,3140,260,4887026,0.035561458,0.003764969,3.099667072,0.005570624,4.621811867,0.003764969,4.635058165
led7,3200,8,96091,3.67E-05,0.003723791,11.12228465,0.000867933,1.117449999,0.008208616,25.61530018
led24,3200,25,313903,0.001809755,0.014930251,7.322119951,0.043496413,2.993225813,0.015521334,10.63158107
kr_vs_kp,3196,37,236646,0.015195297,0.004733668,6.411318064,0.014043004,1.924168825,0.004467922,3.885544062
kr-vs-kp,3196,37,466839,0.019685512,0.00446964,9.532580137,0.00765363,2.381390095,0.004561759,6.388645172
kin8nm,8192,9,711614,0.011251031,0.002243029,32.55329418,0.006011148,2.58833313,0.002251783,125.2383568
kc1,2109,22,209046,0.153666488,0.111847606,5.352444887,0.021842276,4.477949858,-0.001323734,22.40366387
jungle_chess_2pcs_endgame_rat_rat,3660,47,688987,0.048631516,0.005762243,10.17110133,0.024267768,2.520925999,0.006222021,27.83757687
jungle_chess_2pcs_endgame_panther_lion,4704,47,884813,0.06629812,0.009836323,7.240125895,0.091820353,2.530488729,0.011047309,7.522094727
jungle_chess_2pcs_endgame_panther_elephant,4704,47,886685,0.051838493,0.009607202,8.521425724,0.047535647,3.402899981,0.010088265,7.575926065
jungle_chess_2pcs_endgame_lion_lion,2352,47,442190,0.049292648,0.007611716,2.512701035,0.058854072,1.727921963,0.007621901,2.380372047
jungle_chess_2pcs_endgame_lion_elephant,4704,47,884813,0.058222035,0.01577192,7.591546059,0.141682365,2.790315866,0.016887594,7.716859341
jungle_chess_2pcs_endgame_elephant_elephant,2351,47,443806,0,0.007882562,2.090791941,0,1.408350945,0.008691944,3.823827982
jasmine,2984,145,1847900,0.073977013,0.010719778,10.09144282,0.148515805,3.129460096,0.010583653,14.55484009
isolet,7797,618,34052317,0.062238779,0.130215967,26.93038273,0.319757261,23.17821026,0.130450764,34.46903014
hill-valley,1212,101,1235935,0.001726194,3.32E-05,2.353839159,0.001311107,1.462391138,0.000262776,1.653054237
gina_prior2,3468,785,11782317,0.030913997,0.061608848,13.87012029,0.231709436,10.72593594,0.064022324,7.788582087
gina_prior,3468,785,11782317,0.035223335,0.007229945,5.265043974,0.050270303,10.19489098,0.007502553,8.072955847
gina_agnostic,3468,971,15251303,0.004057843,0.003143082,9.85421896,0.016402249,12.96310592,0.003059038,7.751618862
gina,3153,971,13854651,0.0044658,0.003380241,6.862373114,0.010701674,11.88224077,0.003318936,7.240610838
german,1000,21,61004,0.360957396,0.005742088,1.808393002,0.021317854,1.15987587,0,0.917926073
fri_c4_1000_50,1000,51,534906,0.000960968,0.001387661,1.064375877,0.001162933,1.48951602,0.001454947,1.098680019
fri_c4_1000_25,1000,26,268201,0.005698448,0.001831432,1.154788971,-0.000778527,1.129098177,0.001831432,1.309316874
fri_c4_1000_100,1000,101,1066780,0,0.000165152,1.143354893,0,1.634929895,7.00E-05,1.411876202
fri_c4_1000_10,1000,11,109036,0.02894788,0.008415568,1.064044952,0.015697771,0.923858881,0.009187398,1.485579967
fri_c3_1000_50,1000,51,535227,3.87E-07,0.002145575,1.823851824,0.001144294,1.168461084,0.001511532,1.871042967
fri_c3_1000_5,1000,6,56144,0.101187553,0.032185577,1.076214075,0.035147332,0.981505156,0.032185577,1.055014849
