Filename,Shape_R,Shape_C,Size,Time,ARI_Mean,ARI_BestARI,Inertia_BestARI,ARI_BestInertia,Inertia_BestInertia
volcanoes-d3,9285,4,219552,1.9580483913421631,0.00014495552707742944,0.0004021096261559351,27106392106971.855,-0.00019110023227700068,27099330468482.11
fri_c4_1000_50,1000,51,534906,1.4280321836471557,-0.001808261255049553,0.0,49005314.76617348,0.0,49005314.76617348
Speech,3686,401,13798013,8.590649509429932,0.0014065232969651966,0.008455236498312807,4401418881.016654,-0.005501166677719343,4399298509.403793
volcanoes-d1,8753,4,206729,2.020588445663452,-0.0006848936182058383,0.00021163101337859033,23646043543096.15,-0.002553381858692491,17600182215258.164
visualizing_soil,8641,5,224916,2.0849711894989014,0.024492950236921086,0.02898269544466779,122209063913.17064,0.008385856155944157,106557346303.71094
autoUniv-au6-1000,1000,41,228983,1.0897539377212524,0.0008558426911411249,0.0027261941261633935,1817042595225219.0,-0.0056939134003006564,1376775714719359.0
bank-marketing,4521,17,329454,2.6840614318847655,0.035156859204411736,0.0429069421377212,369000794106033.0,0.03760620096475951,368932048578315.5
clean2,6598,169,6704443,6.000215935707092,0.0026850776781072103,0.0045814182379093045,393381432960644.44,0.0023245345154302706,393096863141213.1
waveform_40,5000,41,1058237,2.4875542163848876,0.15981579099386528,0.22611722106221774,2317438956.015992,0.0,1722356593.7024002
first-order-theorem-proving,6118,52,3000537,6.425732612609863,0.018045046937426597,0.01879181492077095,3449894080.603154,0.018486475141544043,3428325272.5501432
kin8nm,8192,9,711614,3.3930512428283692,0.007767263707238352,0.008794921290863194,537761811.9543135,0.008150308525441246,532788781.88117164
autoUniv-au4-2500,2500,101,1180009,2.2129246950149537,0.0006417141842851376,0.0011486594691801136,5773315567868765.0,0.0011486594691801136,5773315567868765.0
space_ga,3107,7,207178,1.4719241619110108,0.006830006952465441,0.01449094482841158,2.459011719961765e+21,0.0,1.2531881263664333e+21
madelon,2600,501,7807593,6.249131989479065,0.008986027541556276,0.010522318192600291,3342749041917.129,0.0005822111153071928,3089797605951.6577
ring,7400,21,1009548,5.655373072624206,0.05605313755848185,0.07307869516258082,2823538783172032.5,0.04809118411478358,2774155924762518.0
mfeat_factors,2000,217,2332184,2.896844482421875,0.321441332513801,0.37302309400490063,5873975390927.379,0.21186530682617283,5407869691228.029
banknote-authentication,1372,5,47813,1.0447455167770385,0.18758257877266266,0.2335910925903277,210384995.9865141,0.01561678264116028,161767118.8314593
