Filename,Shape_R,Shape_C,Size,Time,ARI_Mean,ARI_BestARI,Inertia_BestARI,ARI_BestInertia,Inertia_BestInertia
cmc,1473,10,57651,0.624233078956604,0.0011243715740667636,0.0022066777734943825,270418426.6665664,0.00011513147668717132,264952983.45464903
mc1,9466,39,1574745,2.4535095930099486,0.03674950576875388,0.06066346014555648,3.732698336553241e+19,0.030674957912842943,3.3588797256934625e+19
wine_quality_red,1599,12,100950,1.5750837087631226,-0.006903341696638585,0.0016397574238569928,4246204839.354455,-0.002572924950264066,3161276542.8325977
fabert,8237,801,26789342,23.223587441444398,0.00026381327640887263,0.0014379880258851745,188515848.2882851,0.00010647146065131338,67929690.96953923
jungle_chess_2pcs_endgame_lion_lion,2352,47,442190,1.1518357038497924,0.009591707500516241,0.034488949078998264,590913928.6164734,0.016310717016599058,566359819.3094285
fri_c3_1000_10,1000,11,108396,0.7542350053787231,0.027150442370535877,0.040717338736452446,11562968.855931472,0.0028840536985252044,10553262.55536802
volcanoes-b5,9989,4,233029,2.618017816543579,-0.0009047132352995117,0.002272511890378377,17915581198811.67,-0.0008436425560755655,16488966216600.953
parity5+5,1124,11,24796,0.6720606088638306,-8.895603474843321e-05,0.00027066819391690695,3098362.0278086765,-6.349263629737732e-05,3086307.215950638
mofn-3-7-10,1324,11,55675,0.9539573192596436,-0.015093237022452128,0.02289032278796776,4399253.417849898,0.018280617348349504,4366060.981529282
pc3,1563,38,276975,0.8738533973693847,0.018213662627588733,0.13952769198202566,3.372652685781502e+17,0.13952769198202566,3.372652685781502e+17
kr_vs_kp,3196,37,236646,0.9661587953567505,-5.7151721407053766e-05,0.0009537025660371405,51265999.14987092,0.00012073244517555585,48304662.67380352
autoUniv-au7-1100,1100,13,64626,0.5180685997009278,0.0018610261624495863,0.0033864283758597226,4709900495894.393,0.0017145333634870426,4486908591354.338
fri_c4_1000_100,1000,101,1066780,1.548986029624939,-0.0015657370163888753,-0.00017911763359198602,98048257.34810954,-0.0016316215720817758,52737021.88464227
texture,5500,41,1921705,1.9185509204864502,0.10627081898460737,0.11993165627150223,61253955.17146448,0.11993165627150223,61253955.17146448
fri_c0_1000_5,1000,6,54984,1.1517852306365968,0.0031269100799054504,0.012229223537005866,4960790.906590158,0.00043154677420098885,4909530.373148019
waveform_21,5000,22,545157,1.180375099182129,0.2719856137330798,0.281711000962253,1653005250.8880377,0.2624171961230496,1646853740.4497976
car,1728,7,44978,0.6349474430084229,0.003328981381000322,0.02639159699696551,16883269.758064516,0.0008399955817884014,16873398.14487633
