Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,M2,108.5667062,303.9867774,398.2226783,358.7043973,0.208860512
BNG(segment)_OpenML,1000000,19,SS,M2,76.5018239,206.5549245,266.4558526,241.6692617,0.140948351
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,99.84541106,289.5516921,376.4171997,344.5665136,0.018612783
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,SS,M2,289.070847,809.3983716,1060.311867,955.0900785,-0.003914253
BNG(spambase)_OpenML,1000000,57,SS,M2,162.4515879,438.6192873,565.8188807,513.1845662,-0.00097014
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,56.68470502,164.3856446,213.7013379,195.618917,0.239628369
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,94.04275107,263.319703,344.9488109,310.7172495,0.305921036
BNG(trains)_OpenML,1000000,32,SS,M2,123.411366,333.2106882,429.8417878,389.8565052,0.008572269
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,70.87785411,205.5457769,267.20951,244.5994745,0.337785423
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,69.03192091,193.2893785,253.2090859,228.0814667,0.084730414
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,SS,M2,82.47122478,222.6723069,287.2472759,260.5265991,0.065031188
BNG(vote)_OpenML,131072,16,SS,M2,10.093472,29.2710688,38.05238944,34.83257187,0.567187809
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,102.6229458,287.3442482,376.4209652,339.0662129,0.001822083
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,SS,M2,118.4012661,319.6834185,412.3916098,374.0295996,0.134025765
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,SS,M2,148.865689,431.7104981,561.2236475,513.7354927,0.001421953
CovPokElec_OpenML,1455525,72,SS,M2,317.9610691,890.2909935,1166.281201,1050.543372,0.000953002
