Filename,Row,Columm,Mode,System,Time_2060,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
BNG(cylinder-bands)_OpenML,1000000,39,SS,2060,1089.445074,265.7183108,520.8078892,906.2057272,989.5349894,0.006450244,2060,1089.4450743198397,0.0064502443709071,3070,187.6245129108429,0.018060438423524,M2,135.9358389377594,0.0005272349809086,M2,233.19220685958865,0.0014654499646646
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,2060,1088.953046,265.5983039,520.5726756,905.7964556,989.0880837,0.46077087,2060,1088.9530460834503,0.4607708704642694,3070,119.30624270439148,0.2224477948128546,M2,88.51838994026184,0.1445924735599772,M2,108.56670618057252,0.2088605116505268
BNG(elevators)_OpenML,1000000,18,SS,2060,531.8360667,129.7161138,254.243583,442.3838345,483.0628078,0.002202797,2060,531.8360667228699,0.002202796876386,3070,117.36988067626952,0.0,M2,86.88226771354675,0.0002910164542159,M2,184.7984659671784,0.0021163689626845
BNG(eucalyptus)_OpenML,1000000,19,SS,2060,628.3460832,153.2551422,300.3800787,522.661337,570.7221496,0.000447383,2060,628.3460831642151,0.000447383339807,3070,105.17512941360474,-0.0013035169564331,M2,77.08982682228088,-0.0019237698199113,M2,164.03331685066223,-2.308073038607692e-05
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,2060,967.7587123,236.0387103,462.6358722,804.9864176,879.0081572,0.045630265,2060,967.7587122917176,0.0456302645569992,3070,53.23927545547485,0.0416852680801584,M2,42.20342302322388,0.2030542299024038,M2,56.68470501899719,0.2396283689656563
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,2060,2428.434937,592.3012042,1160.91036,2019.984027,2205.729684,0.018009366,2060,2428.434937238693,0.0180093655420493,3070,53.31633090972901,0.0560390687537658,M2,41.44809913635254,0.2101022122065358,M2,94.04275107383728,0.3059210359912129
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,2060,977.1393261,238.3266649,467.1202632,812.789258,887.5285001,0.028003711,2060,977.139326095581,0.028003710798571,3070,53.40783262252808,0.0138988431355343,M2,41.16657567024231,0.1521903221648192,M2,70.87785410881042,0.3377854227440127
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,SS,2060,673.5093353,164.2705696,321.9703164,560.2283506,611.7436012,0.012573889,2060,673.5093352794647,0.0125738893028165,3070,72.91609072685242,0.2191576856591109,M2,54.81288003921509,-0.027917991198221,M2,82.47122478485107,0.0650311878924093
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,1669.084977,407.0938969,797.9040379,1388.353026,1516.017672,-0.003008289,M2,407.0938968658447,-0.0030082892039198,3070,100.02531957626344,0.0379470789640808,M2,74.38246393203735,0.0311982939483356,M2,102.62294578552246,0.0018220826226304
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,SS,M2,2216.122103,540.517586,1059.414469,1843.381175,2012.88749,0.018106896,M2,540.5175859928131,0.0181068958434628,3070,134.28344798088074,-0.0004975985356287,M2,96.9081449508667,-3.056008992252831e-05,M2,113.28668403625488,0.0008156058346256
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,SS,M2,2014.640821,491.3758099,963.0965874,1675.788062,1829.883516,0.002403224,M2,491.3758099079132,0.0024032235872527,3070,134.37705898284912,-2.719247012929249e-07,M2,96.53290510177612,-2.8832741795367445e-06,M2,118.49148893356325,4.9006244049896806e-05
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,SS,M2,1493.775563,364.3355031,714.0975861,1242.5298,1356.785414,0.008043251,M2,364.3355031013489,0.0080432508107262,3070,134.52679562568665,0.0,M2,96.65780782699584,-1.8825879397729102e-05,M2,148.9348747730255,1.2304537034931452e-05
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,SS,M2,2506.027822,611.2262981,1198.003544,2084.526167,2276.206734,0.01824527,M2,611.2262980937958,0.0182452704998169,3070,138.66543436050415,-0.0011653991228257,M2,95.80302000045776,-0.0004678854888846,M2,115.20425987243652,0.0041014944259178
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,SS,M2,1417.354584,345.6962399,677.5646302,1178.962457,1287.372797,0.016041218,M2,345.6962399482727,0.0160412175853587,3070,134.75752711296082,0.004059974466966,M2,96.0168309211731,-2.111001180389744e-06,M2,119.0361909866333,0.0025920102421064
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,SS,M2,2378.345043,580.0841568,1136.964947,1978.319008,2160.2334,0.020644414,M2,580.0841567516327,0.0206444143646677,3070,133.99233865737915,-0.0012136333057407,M2,95.70621275901794,-0.001001403504202,M2,115.75825190544128,-8.136462550627849e-05
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,SS,M2,1591.427026,388.1529331,760.7797489,1323.756763,1445.481523,0.022633623,M2,388.15293312072754,0.0226336232396351,3070,138.40502071380615,-0.0015518449412988,M2,96.72929883003236,-0.0005436734860469,M2,116.33760619163512,-0.0002328939435992
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,SS,M2,1334.607473,325.5140178,638.0074749,1110.133006,1212.214202,0.017838091,M2,325.5140178203583,0.0178380907941718,3070,136.60886430740356,0.0,M2,96.95516991615295,-3.084839046843372e-05,M2,118.09761786460876,-0.0005405262621767
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,SS,M2,1269.619435,309.6632769,606.9400227,1056.07564,1153.186043,0.02215868,M2,309.66327691078186,0.0221586800479596,3070,134.16860222816467,0.0,M2,96.89116096496582,-3.1103645351370843e-05,M2,128.11136484146118,-2.861079948142011e-05
BNG(kr-vs-kp)_OpenML,1000000,36,SS,2060,1341.195731,327.1209101,641.1569838,1115.613152,1218.198269,0.008498234,2060,1341.1957314014437,0.008498234457425,3070,141.509685754776,0.0025793222615412,M2,95.40698981285097,-0.0001898947062243,M2,115.3928608894348,0.0005116375839946
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,2060,1404.227918,342.4946141,671.2894436,1168.043632,1275.449943,0.044734666,2060,1404.2279176712036,0.0447346661870104,3070,63.9360945224762,0.122048237217478,M2,47.80440592765808,0.1347132258632522,M2,72.22992706298828,0.6412172345684533
BNG(labor)_OpenML,1000000,16,SS,2060,853.2678626,208.1141128,407.9036611,709.7523703,775.0169561,0.035199324,2060,853.2678625583649,0.035199323977367,3070,74.1067008972168,-0.016743538671442,M2,55.6771137714386,-0.0228219778435405,M2,142.0371959209442,-0.0242902227848955
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,SS,M2,1093.182631,266.62991,522.5946236,909.3146451,992.9297848,0.023181216,M2,266.629909992218,0.023181215867495,3070,91.29432940483092,-2.646636831002061e-08,M2,67.62736678123474,0.0011905854653937,M2,146.8092658519745,0.0030927647503045
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,SS,M2,1685.783462,411.166698,805.8867281,1402.242907,1531.184783,0.003112119,M2,411.1666979789734,0.0031121186740017,3070,90.43618726730348,-4.594797201302133e-07,M2,67.46080589294434,2.179960203397834e-05,M2,161.06985902786255,0.0001350552022124
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,SS,M2,1268.728624,309.4460058,606.5141714,1055.334658,1152.376926,0.007821111,M2,309.446005821228,0.0078211107908334,3070,94.01786971092224,-3.821824189717029e-07,M2,67.69935607910156,0.0007318170316273,M2,203.59489727020264,0.0007114317481049
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,SS,M2,1077.95808,262.916605,515.3165458,896.6507897,979.101437,0.033470442,M2,262.91660499572754,0.0334704416207525,3070,90.53170919418336,-8.353993738968635e-07,M2,68.12779378890991,0.0011891087024509,M2,152.41593861579895,0.0021211220837633
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,SS,M2,1179.534839,287.6914241,563.8751912,981.1428328,1071.362863,0.02299675,M2,287.69142413139343,0.0229967502848836,3070,91.51790571212769,-7.152390012357407e-07,M2,67.60864520072937,0.0013826961986738,M2,146.45498609542847,0.0030820249519825
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,SS,M2,950.5862665,231.8503089,454.4266054,790.7022935,863.4105503,0.026845038,M2,231.85030889511108,0.0268450377045824,3070,91.38303565979004,-1.970925671519252e-07,M2,68.24178194999695,0.0012358461133976,M2,148.86762595176697,0.002313262985613
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,SS,M2,1079.954223,263.4034691,516.2707994,898.311191,980.9145189,0.033506118,M2,263.40346908569336,0.0335061181216937,3070,91.2474045753479,-1.4143733407370022e-07,M2,68.05108785629272,0.0013352533255594,M2,148.3948459625244,0.0022322251708382
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,SS,M2,972.278149,237.141012,464.7963835,808.7457073,883.1131287,0.017086269,M2,237.14101195335388,0.0170862692874728,3070,90.37605500221252,9.38721390003454e-07,M2,67.72553014755249,0.0001330865139198,M2,149.13069415092468,0.0026372752026304
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,SS,M2,1539.672712,375.5299299,736.0386626,1280.707273,1398.473459,0.024076629,M2,375.5299298763275,0.0240766293571218,3070,90.6117992401123,1.025688364463018e-07,M2,68.16570115089417,0.0013256117865684,M2,146.31388115882874,0.0031160022021283
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,2060,1427.78659,348.2406317,682.5516381,1187.63985,1296.848112,0.070066015,2060,1427.786589860916,0.0700660151736607,3070,63.6202187538147,0.0002064221101855,M2,49.02154803276062,0.001272893295474,M2,71.4009280204773,0.0012913484178784
BNG(letter)_OpenML,1000000,16,SS,2060,1000.754688,244.0865092,478.409558,832.432631,908.9781603,0.036045047,2060,1000.7546877861024,0.0360450469616642,3070,90.16744494438171,-4.570133269484682e-07,M2,67.74217700958252,0.0007904307209143,M2,147.15835785865784,0.0014658892582821
BNG(libras_move)_OpenML,1000000,90,SS,2060,1423.074181,347.0912637,680.2988769,1183.720046,1292.567866,5.07e-08,2060,1423.0741810798645,5.0678485289111064e-08,3070,532.783394575119,6.051487111437361e-11,M2,373.2382740974426,3.076820966621812e-08,M2,419.703782081604,5.3517208360844376e-08
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,SS,M2,1221.480278,297.922019,583.9271572,1016.033254,1109.461599,0.003792929,M2,297.9220190048218,0.0037929292398414,3070,72.07177662849426,0.006831459822001,M2,55.28577375411987,0.0004826975032089,M2,85.66937184333801,-0.0003042641290757
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,SS,M2,1343.983794,327.8009253,642.4898136,1117.932276,1220.730646,0.000188352,M2,327.8009252548218,0.0001883516003091,3070,70.63705515861511,0.0,M2,55.27761912345886,0.0034130044476085,M2,85.02153301239014,-0.0008458359711635
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,SS,M2,905.0831632,220.751991,432.6739024,752.8525901,822.0804145,0.018016729,M2,220.75199103355408,0.0180167292624858,3070,71.55567359924316,0.0177421315662925,M2,55.496262073516846,0.0273388559568316,M2,101.96711421012878,0.0331699249862822
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,SS,M2,966.9745656,235.847455,462.2610118,804.3341605,878.2959224,0.003543673,M2,235.84745502471924,0.0035436732471508,3070,72.01053500175476,0.007855644376355,M2,55.561907052993774,0.0001931372450846,M2,95.43396306037904,3.194377755393033e-05
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,SS,M2,1787.669241,436.0168881,854.5931007,1486.991995,1623.726891,0.004416762,M2,436.0168881416321,0.0044167617618578,3070,71.42823028564453,9.4032385936758e-05,M2,55.51680088043213,0.0007323051943942,M2,102.22593712806702,0.0005539961651925
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,SS,M2,782.4719292,190.846812,374.0597515,650.8639676,710.7135279,0.008621125,M2,190.8468120098114,0.0086211254879719,3070,74.11900091171265,0.0302776404785818,M2,55.6145281791687,0.0074773308532459,M2,78.30043005943298,0.010819126579532
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,SS,M2,825.6680366,201.382448,394.7095981,686.7947007,749.9482364,0.000482714,M2,201.38244795799253,0.0004827140711432,3070,72.37087965011597,0.0002319327097064,M2,55.68611979484558,-6.065811159959126e-05,M2,85.18206119537354,-0.000327947165765
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,2060,928.9704716,226.5781638,444.093201,772.7221698,843.777082,0.024715934,2060,928.9704716205596,0.0247159336562566,3070,70.51533269882202,0.1017230804369687,M2,53.94125318527222,0.0559985804248812,M2,70.83801293373108,0.0582782346229286
BNG(lymph)_OpenML,1000000,18,SS,2060,1214.760331,296.2830076,580.7146949,1010.443569,1103.35792,0.037187693,2060,1214.7603311538696,0.0371876932266181,3070,71.7283022403717,0.1165323237778093,M2,54.63142609596253,0.0932280038910423,M2,98.95191979408264,0.0786279747812157
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,2060,1703.142931,415.400715,814.1854014,1416.682598,1546.952263,0.326374605,2060,1703.1429314613342,0.3263746048194859,3070,272.09348320961,0.003305723689164,M2,191.55033373832703,0.0808929819439086,M2,342.5130331516266,0.089576537554859
BNG(mfeat-fourier)_OpenML,1000000,76,SS,2060,1338.84088,326.546556,640.0312498,1113.654375,1216.059375,0.0296726,2060,1338.8408796787262,0.0296725995677833,3070,459.322292804718,1.6821518368430344e-05,M2,314.814954996109,0.0902882246759932,M2,354.804655790329,0.0896379580050373
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,2060,853.736414,208.2283936,408.1276515,710.1421135,775.4425378,0.36332845,2060,853.7364139556885,0.363328450093553,3070,235.5206520557404,0.0,M2,164.7042760848999,0.0005005090949042,M2,258.7750780582428,6.877314260248553e-07
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,2060,1158.807585,282.6359963,553.9665527,963.9018018,1052.53645,0.205078481,2060,1158.8075847625732,0.2050784814219102,3070,171.72448897361755,0.0301057739644912,M2,121.18967294692992,0.0001679865923333,M2,165.76411890983582,0.2891917058190289
BNG(mfeat-zernike)_OpenML,1000000,47,SS,2060,1929.600317,470.6342236,922.4430783,1605.050956,1752.641849,0.209483583,2060,1929.600316762924,0.2094835827001572,3070,312.8046762943268,8.493148390078955e-05,M2,219.82433032989505,0.0262912060414391,M2,233.4058048725128,0.0446054608924103
BNG(page-blocks)_OpenML,295245,10,SS,M2,836.9271901,204.128583,400.0920227,696.1601195,760.1748431,0.006789885,M2,204.1285829544068,0.0067898851102771,3070,19.803518056869507,0.0437795818869999,M2,13.960691928863524,-0.0002152631522303,M2,197.1941750049591,0.0
BNG(pbc)_OpenML,1000000,18,SS,2060,328.6392169,80.15590656,157.1055769,273.3637037,298.500596,-7.78e-11,2060,328.6392168998718,-7.780470461436863e-11,3070,113.3992383480072,-1.7023107806579863e-10,M2,81.07784509658813,-8.728477927956375e-11,M2,118.16251015663148,-1.1984472232486903e-10
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,950.4041278,231.8058848,454.3395342,790.5507895,863.245115,0.298727842,M2,231.80588483810425,0.2987278415653663,3070,65.29140639305115,0.0062202162463512,M2,48.67624497413635,0.0712280003094779,M2,84.96507287025452,0.0625405219751726
BNG(pendigits)_OpenML,1000000,16,SS,2060,1030.343269,251.3032363,492.5543431,857.0445571,935.853252,0.325842067,2060,1030.3432686328888,0.325842067051157,3070,105.37034201622008,0.0132274706737239,M2,79.80039691925049,0.0350383512213665,M2,106.36490392684937,0.0067807704857145
BNG(pharynx)_OpenML,1000000,10,SS,2060,476.091892,116.1199737,227.5951485,396.0155583,432.4307821,1.71e-09,2060,476.09189200401306,1.7111137365375607e-09,3070,54.57276892662048,-1.3376964681952207e-11,M2,43.464475870132446,3.154329224831206e-10,M2,134.9870798587799,-1.0660786051963603e-09
BNG(primary-tumor)_OpenML,1000000,17,SS,2060,946.4859784,230.8502386,452.4664677,787.2916537,859.6862885,0.063339232,2060,946.4859783649443,0.0633392317560113,3070,68.74963545799255,0.0050083904645566,M2,51.01920008659363,0.0244222786261763,M2,62.26601791381836,0.0388767122220053
BNG(puma32H)_OpenML,1000000,32,SS,2060,1041.637869,254.0580169,497.9537131,866.4394608,946.1120549,8.14e-07,2060,1041.6378693580627,8.13791372338535e-07,3070,216.8202593326569,0.0,M2,154.39566779136658,1.1332231460199348e-10,M2,178.7312080860138,-2.530002910894454e-08
BNG(pwLinear)_OpenML,177147,10,SS,M2,434.1574862,105.8920698,207.5484568,361.1343148,394.3420679,-8.29e-09,M2,105.89206981658936,-8.286774058636464e-09,3070,9.016797304153442,0.0,M2,6.558220148086548,4.685240772908136e-08,M2,28.524512767791748,4.9242468363019735e-08
BNG(satellite_image)_OpenML,1000000,36,SS,2060,1230.426381,300.1039954,588.203831,1023.474666,1117.587279,0.278864979,2060,1230.426381111145,0.2788649785640422,3070,252.6321158409119,0.0411631694393544,M2,176.9408779144287,0.1608413054770813,M2,217.3335301876068,0.4796525499980501
BNG(satimage)_OpenML,1000000,36,SS,2060,1170.850951,285.5734026,559.7238691,973.9195322,1063.475351,0.272069236,2060,1170.850950717926,0.2720692364775012,3070,238.57888078689567,0.0930567756444354,M2,169.02970027923584,0.1542258197607792,M2,185.9709959030152,0.4538615279502205
BNG(segment)_OpenML,1000000,19,SS,2060,243.1461041,59.30392783,116.2356985,202.2501155,220.8478272,0.024596385,2060,243.1461040973664,0.0245963846044293,3070,72.20614004135132,0.2063479276836284,M2,53.78405499458313,0.1642431985355682,M2,76.50182390213013,0.1409483506273891
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,2060,1178.9458,287.5477561,563.593602,980.6528674,1070.827844,0.001714314,2060,1178.9457998275757,0.001714313752761,3070,99.53721356391908,-0.0008236313303241,M2,74.23247623443604,0.0649233317842703,M2,99.8454110622406,0.018612782590874
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,SS,M2,1468.002041,358.0492783,701.7765855,1221.091259,1333.375512,0.009434154,M2,358.04927825927734,0.0094341540706754,3070,220.0293836593628,-0.0007894948420846,M2,150.06569290161133,-0.0018794825529271,M2,289.07084703445435,-0.0039142533896684
BNG(sonar)_OpenML,1000000,60,SS,2060,1183.456485,288.6479231,565.7499293,984.4048769,1074.924866,0.00759025,2060,1183.4564847946167,0.0075902495476522,3070,350.38079738616943,0.0006576897588294,M2,246.35565996170044,0.0003230424641977,M2,264.46143102645874,0.0227872648075278
