Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Max,Unique,Outliers,max,min,mean,std
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1688671317.098982,1688674214.7647932,1,2897.665811061859,404025,5096,910642,-0.79497683,-22360680000.0,-435345730.0,1740236700.0
BNG(mushroom)_OpenML,1000000,22,1688674216.785482,1688675920.5760891,1,1703.790607213974,403991,10160,222131,-0.7752141,-47958315000.0,-346618720.0,2162970000.0
BNG(mv)_OpenML,78732,10,1688842788.205914,1688842795.9952,1,7.789285898208618,401407,1,78732,-0.8942218,-2.829722,-1.0358541,0.071248196
BNG(page-blocks)_OpenML,295245,10,1688762276.58331,1688762385.885546,1,109.30223608016968,401407,1,295245,,,,
BNG(pbc)_OpenML,1000000,18,1688813125.95339,1688814658.930089,1,1532.9766991138458,402747,1,1000000,,,,
BNG(pendigits)_OpenML,1000000,16,1688763998.071292,1688766156.4833128,1,2158.412020921707,402180,1,1000000,,,,
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1688686597.8902578,1688688742.160735,1,2144.2704770565033,430585,14290,144416,-0.81374407,-20000000000.0,-439176740.0,1697202300.0
BNG(pharynx)_OpenML,1000000,10,1688819495.8111832,1688820746.596789,1,1250.7856056690216,403482,26821,419149,,,,
BNG(primary-tumor)_OpenML,1000000,17,1688790824.335726,1688792350.298048,1,1525.9623219966888,427499,18083,88496,,,,
BNG(puma32H)_OpenML,1000000,32,1688835736.9772182,1688838484.570768,1,2747.593549966812,402702,1,1000000,,,,
BNG(pwLinear)_OpenML,177147,10,1688823644.159416,1688823683.5832682,1,39.42385220527649,401407,15698,51049,,,,
BNG(satellite_image)_OpenML,1000000,36,1688825515.411528,1688827739.9236338,1,2224.512105703354,402983,1,1000000,,,,
BNG(satimage)_OpenML,1000000,36,1688800480.072453,1688802706.530329,1,2226.4578759670258,402600,1,1000000,,,,
BNG(segment)_OpenML,1000000,19,1688693481.728902,1688695468.3194082,1,1986.5905060768127,619301,4655,46845,,,,
BNG(solar-flare)_OpenML,663552,12,1688792351.0746372,1688792996.025443,1,644.9508059024811,464568,6613,31617,,,,
BNG(solar-flare)_OpenML,663552,12,1688792351.0746372,1688792996.025443,1,644.9508059024811,464568,5624,23429,,,,
BNG(solar-flare)_OpenML,1000000,12,1688792998.188839,1688794829.904165,1,1831.7153260707855,659871,6613,31617,,,,
BNG(solar-flare)_OpenML,1000000,12,1688792998.188839,1688794829.904165,1,1831.7153260707855,659871,5624,23429,,,,
BNG(sonar)_OpenML,1000000,60,1688770896.2190678,1688774064.168581,1,3167.949513196945,403651,53,998988,,,,
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1688696732.304385,1688699896.861988,1,3164.557603120804,403767,9,999954,,,,
BNG(soybean)_OpenML,1000000,35,1688699898.952329,1688702095.08714,1,2196.1348111629486,403901,16160,672371,,,,
BNG(spect_test)_OpenML,1000000,22,1688794832.219866,1688796550.214157,1,1717.9942910671234,428653,28791,226941,,,,
BNG(spectf_test)_OpenML,1000000,44,1688796552.773123,1688799087.770764,1,2534.9976410865784,403109,1,1000000,,,,
BNG(trains)_OpenML,1000000,32,1688705061.629778,1688707765.3563468,1,2703.7265689373016,403141,3100,969600,,,,
BNG(vehicle)_OpenML,1000000,18,1688776784.109374,1688778316.3419762,1,1532.2326021194458,402454,1,1000000,,,,
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1688709147.291187,1688710737.2294762,1,1589.9382891654968,449750,12175,161655,,,,
BNG(vote)_OpenML,131072,16,1688712347.449981,1688712387.72507,1,40.27508902549744,403201,3108,14981,,,,
BNG(vowel)_OpenML,1000000,12,1688834418.3992991,1688835735.83953,1,1317.440230846405,402002,2160,868348,,,,
BNG(waveform-5000)_OpenML,1000000,40,1688779890.1492748,1688782931.628021,1,3041.478746175766,403160,1,1000000,,,,
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,1688716028.30736,1688719083.3827431,1,3055.0753831863403,403254,3,999989,,,,
BNG(wine)_OpenML,1000000,13,1688802709.622028,1688804066.283943,1,1356.6619148254395,402346,1,1000000,,,,
BNG(wine_quality)_OpenML,531441,11,1688823685.096264,1688824047.6208022,1,362.5245382785797,401609,12,531383,,,,
BNG(wisconsin)_OpenML,1000000,32,1688805641.187598,1688808442.99908,1,2801.8114819526672,402642,1,1000000,,,,
BNG(zoo)_OpenML,1000000,16,1688782932.87535,1688785586.676147,1,2653.800796985626,648257,9983,43434,,,,
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,1688719084.926344,1688720593.4861388,1,1508.5597949028015,407152,25007,275887,,,,
Click_prediction_small_OpenML,149639,11,1688844191.676085,1688844225.044332,1,33.36824703216553,409720,3812,15557,,,,
Click_prediction_small_OpenML,149639,11,1688844191.676085,1688844225.044332,1,33.36824703216553,409720,7351,17404,,,,
Click_prediction_small_OpenML,399482,11,1688845183.569398,1688845436.974357,1,253.40495896339417,494258,3812,15557,,,,
Click_prediction_small_OpenML,399482,11,1688845183.569398,1688845436.974357,1,253.40495896339417,494258,7351,17404,,,,
Hyperplane_10_1E-3_OpenML,1000000,10,1688723164.856433,1688724440.36026,1,1275.5038270950317,421859,1,0,,,,
Hyperplane_10_1E-4_OpenML,1000000,10,1688724441.237281,1688725720.9668338,1,1279.729552745819,421989,1,0,,,,
LED(50000)_OpenML,1000000,24,1688725721.791539,1688728164.9480262,1,2443.156487226486,402874,1279,992180,,,,
RandomRBF_50_1E-3_OpenML,1000000,10,1688730711.776219,1688731976.22397,1,1264.447751045227,411567,15,74078,,,,
RandomRBF_50_1E-4_OpenML,1000000,10,1688731978.126063,1688733243.7029178,1,1265.5768547058105,413805,19,75131,,,,
covertype_OpenML,110393,54,1688733247.723836,1688733283.547374,1,35.823538064956665,402111,15,110323,,,,
mnist_784_OpenML,70000,784,1688789231.0011342,1688789390.334041,1,159.33290696144104,402036,1,70000,-0.9226675,-3.901795,-1.0674256,0.102060355
pokerhand_OpenML,829201,10,1688728165.882593,1688729024.192468,1,858.3098750114441,402229,1,829201,,,,
