Filename,Row,Columm,Mode,System,Time,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI
BNG(mfeat-fourier)_OpenML,1000000,76,SS,3070,459.3222928,325.7604913,552.136426,1050.840295,1252.924967,1.68E-05
BNG(mfeat-karhunen)_OpenML,1000000,64,SS,3070,406.8322957,290.5944969,501.0249947,908.1078029,1076.275915,0
BNG(bridges_version1)_OpenML,1000000,12,SS,3070,57.8242054,41.60014777,68.19696356,138.6671592,148.5719563,-0.001845377
BNG(mfeat-zernike)_OpenML,1000000,47,SS,3070,312.8046763,221.8472882,376.0123528,715.6364134,853.2588006,8.49E-05
BNG(colic.ORIG)_OpenML,1000000,27,SS,3070,123.6392891,88.31377793,152.2651344,275.980556,327.0880664,-0.000250321
BNG(colic)_OpenML,1000000,22,SS,3070,105.3671861,75.80373101,124.2684115,252.6791034,270.7276107,-0.02574058
BNG(credit-a)_OpenML,1000000,15,SS,3070,78.57927608,55.72998304,94.45759837,179.7741388,214.3460886,0.070385586
BNG(page-blocks)_OpenML,295245,10,SS,3070,19.80351806,14.14537004,24.38856904,44.20428138,52.39025942,0.043779582
BNG(credit-g)_OpenML,1000000,20,SS,3070,88.6080873,63.7468254,104.5029925,212.489418,227.6672336,0.054307626
BNG(pendigits)_OpenML,1000000,16,SS,3070,105.370342,74.73073901,126.6622695,241.0669,287.4259193,0.013227471
BNG(cylinder-bands)_OpenML,1000000,39,SS,3070,187.6245129,134.0175092,231.0646711,418.8047163,496.3611452,0.018060438
BNG(dermatology)_OpenML,1000000,34,SS,3070,123.4152436,88.78794504,145.5540083,295.9598168,317.0998037,5.18E-05
BNG(sonar)_OpenML,1000000,60,SS,3070,350.3807974,248.4970194,421.1813889,801.6032885,955.757767,0.00065769
BNG(heart-c)_OpenML,1000000,13,SS,3070,68.31766605,48.79833289,84.13505671,152.4947903,180.7345663,0.010830167
BNG(heart-statlog)_OpenML,1000000,13,SS,3070,67.98987842,48.9135816,80.18619934,163.045272,174.6913628,0.014220954
BNG(vehicle)_OpenML,1000000,18,SS,3070,121.4268119,86.11830631,145.963231,277.8009881,331.224255,0.024225951
BNG(hepatitis)_OpenML,1000000,19,SS,3070,92.15530801,65.82522001,113.4917586,205.7038125,243.7971111,0.000561604
BNG(waveform-5000)_OpenML,1000000,40,SS,3070,253.2591252,182.2008095,298.6898516,607.3360317,650.7171768,0
BNG(zoo)_OpenML,1000000,16,SS,3070,63.482512,45.02305816,76.31026806,145.2356715,173.1656083,0.439931349
20_newsgroups.drift_OpenML,399940,1001,SS,3070,1517.400343,1083.857388,1868.719634,3387.054337,4014.286622,0.012299008
meta_stream_intervals.arff_OpenML,45164,74,SS,3070,14.43746448,10.38666509,17.02731983,34.62221698,37.09523248,-0.009087878
Ailerons_OpenML,13750,40,SS,3070,3.067018509,2.175190432,3.686763444,7.016743329,8.366117046,0.000386299
mv_OpenML,40768,10,SS,3070,3.202419996,2.287442854,3.94386699,7.14825892,8.472010571,-1.02E-05
mnist_784_OpenML,70000,784,SS,3070,158.1389141,113.7690029,186.5065622,379.2300098,406.3178677,0.036474696
fried_OpenML,40768,10,SS,3070,3.301781893,2.341689286,3.968964891,7.553836406,9.006497253,0
house_16H_OpenML,22784,16,SS,3070,2.920397758,2.085998399,3.596548963,6.518744996,7.725919995,0.006921242
