Filename,Row,Columm,Mode,System,Time,ARI
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,Default,Louise,367.0831582546234,-0.0016848996143896432
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,Default,Louise,361.9868710041046,-0.004204529969307224
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,Default,Louise,372.3182842731476,-0.06540063534651969
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,Default,Louise,368.1281359195709,-0.014694658145343716
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,Default,Louise,367.0364193916321,-0.032201271825057554
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,Louise,375.81466364860535,-0.06415022005821396
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,Default,Louise,488.31382155418396,-0.009945135681333154
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,69,Default,Louise,487.79032135009766,-0.00031988658781270196
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,Default,Louise,485.2356336116791,-0.0009893558834669345
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,Default,Louise,486.6575870513916,-0.049364282696428695
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,Default,Louise,483.2288374900818,-0.003912526040008403
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,Default,Louise,478.85833191871643,-0.010061042659996808
BNG(autoHorse)_OpenML,1000000,25,Default,Louise,293.7135109901428,0.0
BNG(autoPrice)_OpenML,1000000,15,Default,Louise,243.9725444316864,0.0
BNG(auto_price)_OpenML,1000000,15,Default,Louise,243.3013265132904,0.0
BNG(autos)_OpenML,1000000,25,Default,Louise,307.483074426651,0.0
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,Default,Louise,303.96778082847595,0.0
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,Default,Louise,296.8325867652893,0.0
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,Default,Louise,303.91998314857483,0.0
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,Default,Louise,305.12539863586426,0.0
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,Default,Louise,304.77937483787537,0.0
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,Default,Louise,302.2335102558136,0.0
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,Default,Louise,301.8435661792755,0.0
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,Default,Louise,304.33309626579285,0.0
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,Default,Louise,303.621458530426,0.0
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,Default,Louise,305.5425398349762,-0.017899603373036876
BNG(bridges_version1)_OpenML,1000000,12,Default,Louise,247.38981580734253,0.0
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,Louise,248.71112203598022,-0.058464234522445736
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,Louise,248.2016158103943,-0.031010428186096232
BNG(cholesterol)_OpenML,1000000,13,Default,Louise,248.4640350341797,0.0
BNG(cleveland)_OpenML,1000000,13,Default,Louise,249.7256624698639,0.0
BNG(colic)_OpenML,1000000,22,Default,Louise,289.1615581512451,0.0
BNG(colic.ORIG)_OpenML,1000000,27,Default,Louise,307.9960250854492,0.0
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,Default,Louise,314.9696276187897,0.0
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,Default,Louise,284.1628348827362,0.0678467213320684
BNG(cpu_act)_OpenML,1000000,21,Default,Louise,288.9255111217499,0.0
BNG(cpu_small)_OpenML,1000000,12,Default,Louise,246.07441353797913,0.0
BNG(credit-a)_OpenML,1000000,15,Default,Louise,262.60842776298523,-3.899176433948151e-06
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,Default,Louise,273.3399269580841,0.0012348786511512516
BNG(credit-g)_OpenML,1000000,20,Default,Louise,285.98614835739136,0.0
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,Default,Louise,285.90614557266235,-0.01947536569555464
BNG(cylinder-bands)_OpenML,1000000,39,Default,Louise,368.01097083091736,0.0
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,Default,Louise,366.62571454048157,0.0
BNG(dermatology)_OpenML,1000000,34,Default,Louise,343.32212257385254,6.148633763241075e-05
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,Default,Louise,343.05011081695557,0.003939540352717878
BNG(elevators)_OpenML,1000000,18,Default,Louise,276.35259318351746,0.0
BNG(eucalyptus)_OpenML,1000000,19,Default,Louise,280.94334959983826,0.0
BNG(heart-c)_OpenML,1000000,13,Default,Louise,248.54662704467773,0.0
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,Louise,262.37183690071106,0.0012086342827768149
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,Louise,324.9279978275299,0.0017661634332136193
BNG(heart-statlog)_OpenML,1000000,13,Default,Louise,248.62166380882263,0.0
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,Louise,259.43733286857605,0.0015410295053824988
BNG(hepatitis)_OpenML,1000000,19,Default,Louise,283.188264131546,0.0
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,Default,Louise,300.8625502586365,-0.011238106834989702
BNG(kr-vs-kp)_OpenML,1000000,36,Default,Louise,348.4230523109436,0.0010596572134674693
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,Default,Louise,354.086473941803,0.002006092084908534
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,Default,Louise,355.0568916797638,0.019635746587323557
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,Default,Louise,356.42787051200867,0.009889941862456708
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,Default,Louise,355.7729868888855,0.01981556111416349
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,Default,Louise,356.81726717948914,0.0007360156343494299
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,Default,Louise,353.86481165885925,0.004266357073181568
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,Default,Louise,356.39902687072754,0.011910998846809843
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,Default,Louise,356.7525293827057,0.014815454132238934
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,Default,Louise,357.10519099235535,0.019537663020600265
BNG(labor)_OpenML,1000000,16,Default,Louise,254.01629519462585,-0.0439973578422564
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,Louise,261.53840470314026,-0.0024129708026346627
BNG(letter)_OpenML,1000000,16,Default,Louise,265.7954180240631,-1.9922837137261963e-07
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,Default,Louise,266.5748565196991,-5.342228035999039e-07
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,Default,Louise,268.78145718574524,-4.037028157122561e-07
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,Default,Louise,271.14882493019104,-5.534076172469203e-07
