Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
parity5_plus_5,1124,11,47276,0,0,2.90299058,-0.000447763,2.749082565,0,0
volcanoes-e5,1112,4,26293,0.167167237,-0.000279494,1.25141263,0.00316474,1.380109072,0,0
PieChart3,1077,38,195602,0,0,2.51432848,0.044803285,1.381469965,0,0
solar-flare,1066,13,53612,1,0,2.66830945,0,1.245429039,0,0
flare,1066,11,27874,0,0,2.533284903,0.041252467,2.020266533,0,0
4544_GeographicalOriginalofMusic,1059,118,2467712,0.020783662,-7.40E-06,1.178782463,1.40E-06,3.124304056,0,0
qsar-biodeg,1055,42,221999,0.008828045,0.013486485,0.905625105,0.005373708,1.395331144,0,0
PizzaCutter3,1043,38,189137,0,0,2.407844305,0.066852565,1.813411713,0,0
rmftsa_sleepdata,1024,3,13923,0,0,2.33247447,0.050330466,1.714059114,0,0
vowel,990,13,89442,0.137386548,0.005904326,0.492730379,-0.003317616,1.575305462,0,0
xd6,973,10,37089,0,0,2.02876091,-0.00984262,2.612804651,0,0
tokyo1,959,45,291005,0,0,1.944530249,0.089843462,1.601656675,0,0
tic_tac_toe,958,10,19194,0.018819764,0.003071744,1.166252375,-0.007781029,1.959922314,0,0
stock,950,10,55384,0.330929622,0.075559129,0.872730255,0.133768123,1.402246714,0,0
eating,945,6374,59644297,0.03409584,0.011576561,7.110492229,0.001690652,59.49370861,0,0
oil_spill,937,50,257201,0,0,1.888821602,0.1211967,1.418224812,0,0
vehicle,846,19,83790,0.003482372,0.090989028,0.496502876,0.000234778,1.269711971,0,0
analcatdata_authorship,841,71,255275,0.113025018,0.047507919,0.443855524,0.270721907,1.953504562,0,0
