Filename,Shape_R,Shape_C,Size,Time_KM_A_Distance,ARI_KM_A_Distance,Time_KM_A_DistanceRatio,ARI_KM_A_DistanceRatio,Time_KM_A_ADLOF,ARI_KM_A_ADLOF,Time_DBS_A_Distance,ARI_DBS_A_Distance,Time_DBS_A_DistanceRatio,ARI_DBS_A_DistanceRatio,Time_DBS_A_ADLOF,ARI_DBS_A_ADLOF,Time_HAC_A_Distance,ARI_HAC_A_Distance,Time_HAC_A_DistanceRatio,ARI_HAC_A_DistanceRatio,Time_HAC_A_ADLOF,ARI_HAC_A_ADLOF,Time_AVG_A_Distance,ARI_AVG_A_Distance,Time_AVG_A_DistanceRatio,ARI_AVG_A_DistanceRatio,Time_AVG_A_ADLOF,ARI_AVG_A_ADLOF
USPS,9298,257,23719532,11.900188207626343,1.838728676454791e-05,4.697353998819987,1.196257624908843e-05,15.277485609054565,1.8600199109439197e-06,11.467912515004477,2.1571540320538722e-05,4.289440393447876,4.7692470126250915e-06,15.104191144307455,9.086220893985712e-06,11.704310735066732,1.3674402041943001e-05,4.511389493942261,2.576165364194007e-05,15.428719361623129,-1.2601869626143284e-06,12.844851732254028,2.178790471699753e-05,5.64673646291097,2.8914024844871235e-05,16.986753066380818,1.5065600816341042e-05
abalone,4177,9,208293,0.8602042198181152,-1.82249984919318e-05,0.7732108434041342,0.08783635209824181,0.9332119623819987,-3.6227444531519956e-05,0.6244745254516602,0.13172345144859696,0.5216623147328695,0.1317610351929942,0.8697146574656168,0.13170286598107067,0.6212453047434489,0.13172345144859696,0.5220290819803873,0.13178222319598767,0.7226672967274984,0.13169380632345287,1.333100159962972,0.13172345144859696,1.2437219619750977,0.13174458791979357,1.4225037892659504,0.13165627084752218
ada,4147,49,837141,1.6062642733256023,0.003936951345560008,1.2605261007944744,0.019181769922022012,3.190176566441854,0.02118427681382326,1.1264243125915527,0.0032811538954993554,0.7608036994934082,0.019720099278718848,2.214177449544271,0.021332551394045617,1.0968592166900635,0.0032811538954993554,0.72113569577535,0.019080392837778033,2.4678770701090493,0.024356290443249384,2.1039326985677085,0.0032811538954993554,1.7251907189687092,0.02451687662696006,3.492997407913208,0.02381834018874192
agaricus_lepiota,8145,23,376261,1.1531044642130535,0.0,1.024174451828003,-5.417756237624215e-05,1.9222385088602703,-3.0132195931506315e-05,0.9153231779734293,0.0,0.7842021783192953,-2.410575835869176e-05,1.4032581647237141,-3.593717580276052e-05,0.9779922962188721,0.0,0.8554135958353678,-8.729668415869789e-05,1.6443671385447185,-2.414601694551786e-05,1.7857331434885662,0.0,1.697869062423706,-9.930930071750089e-05,2.114889939626058,0.0
allbp,3772,30,472880,0.9939815203348795,0.0,0.7981403668721517,0.00010094108620094635,1.1805673440297444,0.0,0.853972593943278,0.0,0.641303539276123,0.009265514469838853,0.9937698046366373,0.0,0.8289628823598226,0.028625047814975924,0.5830377737681071,0.0,1.1234931945800781,0.0,1.4448649883270264,0.0,1.2271887461344402,0.0066117811303315,2.1536876360575357,0.013923868819371561
allhyper,3771,30,254035,0.8158462842305502,0.0,0.7012127240498861,-0.006425386275226023,0.8025437196095785,0.0,0.6268845399220785,0.0,0.5410962899525961,-0.0038442121863242564,0.7879974047342936,0.0,0.6054472128550211,0.0,0.5146061579386393,-0.012994166520558847,0.7065271536509196,0.0,1.2775378227233887,0.0,1.178726037343343,-0.018581035335691654,1.2569125493367512,0.0
allhypo,3770,30,253967,0.8208900292714437,0.0,0.7290210723876953,-0.0034484575994587464,0.8955783843994141,0.0,0.6419986089070638,0.0,0.5448241233825684,-0.00024722086255681556,0.8022784392038981,0.0,0.6117440064748129,0.0,0.5238571166992188,-0.0006551442746430986,0.6195687452952067,0.0,1.2731351057688396,0.0,1.208925485610962,-0.0036958070603879413,1.2716009616851807,0.0
allrep,3772,30,472880,0.9879090785980225,0.0,0.790560245513916,0.000317869802985688,0.9917308489481608,0.0,0.858247439066569,0.0,0.6574910481770834,0.002289942775738072,0.947110096613566,0.0,0.8348352114359537,0.0,0.5746276378631592,0.000317869802985688,0.8382305304209391,0.0,1.444161335627238,0.0,1.2195370992024739,0.0,1.584510087966919,0.0
analcatdata_supreme,4052,8,133837,0.756675640741984,0.0,0.6774682998657227,0.0027082842287745727,1.0139966011047363,0.00030302548252959284,0.5594031016031901,0.0,0.4794224103291829,0.004022575289325613,0.9022871653238932,0.0016206322073413655,0.5648359457651774,0.0,0.4967336654663086,0.0022378188453615025,0.8801492055257162,0.00030302548252959284,1.184087912241618,0.0,1.1023378372192383,0.004022274121407282,1.4483051300048828,0.00030302548252959284
ann_thyroid,7200,22,529365,1.2934029897054036,0.003213662707998345,1.1276644865671794,-0.001311136589040924,2.371767600377401,0.0012749110666687984,1.0122296810150146,-0.003822531046286917,0.8008244832356771,-0.0037902621404280637,1.8937382698059082,-0.0046479116638917985,0.9950873851776123,0.003213662707998345,0.7993551890055338,-0.001429499262314826,2.428034464518229,0.0019492074043784967,1.9491546154022217,0.003213662707998345,1.7620282173156738,-0.0009255439742474931,3.3760713736216226,0.0006006147289591002
autoUniv-au1-1000,1000,21,82078,0.674822727839152,0.0,0.6210269133249918,0.0,0.6661355495452881,0.0,0.5398203531901041,0.0,0.47581251462300617,0.0,0.5418571631113688,0.0,0.44598809878031415,0.0,0.386812686920166,0.0,0.45322338740030926,0.0,1.0241297086079915,0.0,0.9671966234842936,0.0,1.0218380292256672,0.0
autoUniv-au4-2500,2500,101,1180009,1.4986709753672283,0.0,1.0092380046844482,-0.00039097376028291277,1.8139469623565674,0.0,1.4091378053029378,0.0,0.8327154318491617,-7.169323863431476e-05,1.6311353047688801,0.0,1.2955973943074544,0.0,0.7489831447601318,-0.00014787449406950153,1.8955542246500652,0.0,1.9936548868815105,0.0,1.4649546146392822,-0.00010753985795147214,2.3900133768717446,0.0
