Filename,Row,Columm,Mode,System_AP,Time_AP,ARI_AP,ARI_AP_Gmean,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,ARI_HAC_Gmean,System_SC,Time_SC,ARI_SC,ARI_SC_Gmean
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,Default,,,,,M2,2148.014413,-5.34E-07,,,,,,,,
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,Default,,,,,M2,2154.734391,-5.53E-07,,,,,,,,
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,Default,,,,,M2,2152.776993,-4.04E-07,,,,,,,,
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,Default,,,,,M2,3521.957018,-0.009945136,,,,,,,,
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,Default,,,,,M2,3521.49718,-0.000989356,,,,,,,,
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,Default,,,,,M2,3527.237792,-0.049364283,,,,,,,,
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,Default,,,,,M2,3523.694423,-0.010061043,,,,,,,,
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,Default,,,,,M2,3521.782905,-0.003912526,,,,,,,,
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,Default,,,,,M2,1800.578541,0,,,,,,,,
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,Default,,,,,M2,1798.90864,0,,,,,,,,
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,Default,,,,,M2,1799.047595,0,,,,,,,,
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,Default,,,,,M2,1799.581523,0,,,,,,,,
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,Default,,,,,M2,1801.209165,0,,,,,,,,
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,Default,,,,,M2,1801.037046,0,,,,,,,,
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,Default,,,,,M2,1799.833935,0,,,,,,,,
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,Default,,,,,M2,1798.892865,0,,,,,,,,
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,Default,,,,,M2,1799.53492,0,,,,,,,,
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,Default,,,,,M2,1529.893367,6.10E-05,,,,,,,,
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,Default,,,,,M2,1532.049634,-6.41E-06,,,,,,,,
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,Default,,,,,M2,1531.700721,-0.008338777,,,,,,,,
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,Default,,,,,M2,1531.628044,6.81E-06,,,,,,,,
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,Default,,,,,M2,4419.743605,-0.021063985,,,,,,,,
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,Default,,,,,M2,15546.41061,0.000795271,,,,,,,,
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,Default,,,,,M2,1531.50187,6.79E-05,,,,,,,,
