Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
volcanoes-e3,1277,4,29903,0.14204232161773825,0.05677799218381247,0.8778030872344971,0.0031292627036657267,0.46846485137939453,-0.0010098290356356293,0.8462600708007812
volcanoes-e2,1080,4,25508,0.48426832130053343,-0.0036344651494692455,0.8803091049194336,-0.0018601727581262328,0.8234548568725586,-0.0036470702908355506,0.869563102722168
volcanoes-e1,1183,4,27829,0.538373391674554,-0.0002889698086299148,0.8920929431915283,0.004609440397407387,0.5680720806121826,-0.0021346466162147234,0.8491528034210205
volcanoes-d4,8654,4,204406,0.219961334805733,0.02999984861395607,0.9447669982910156,0.00016056324354773776,1.4087810516357422,-0.0004615942520688401,0.9003159999847412
volcanoes-d3,9285,4,219552,0.20624215996715983,0.015936084037561183,1.0240089893341064,0.00023252675652999394,1.8155269622802734,7.883835904317425e-05,0.9518780708312988
volcanoes-d2,9172,4,217183,0.1464439692613115,0.019811124779639665,1.0171451568603516,-0.000611871189027424,1.0064430236816406,0.0004170056149626011,0.8941268920898438
volcanoes-d1,8753,4,206729,0.22810192488129433,0.029383753305166564,0.9599061012268066,-0.0006780503407668207,1.314744234085083,-0.0002937343219920753,0.9453439712524414
volcanoes-b5,9989,4,233029,0.18016251377056738,0.02606546790448852,0.9750838279724121,4.5626004244958395e-05,1.7745399475097656,0.0010194081391723415,0.9312601089477539
volcanoes-a4,1515,4,35545,0.2991851743756363,0.034168302315351985,0.9333240985870361,0.0030281359821447405,0.9653229713439941,-0.0016698157710008873,0.8624370098114014
volcanoes-a3,1521,4,35840,0.23838900629922685,0.036363558316012325,1.0111479759216309,0.003250961219122757,1.0335478782653809,7.488606704554273e-05,0.8833620548248291
volcanoes-a2,1623,4,38056,0.4222412249839262,0.013176975033908404,0.8856039047241211,0.0005141382587687512,0.8719968795776367,-0.0009648659641467724,0.8815090656280518
volcanoes-a1,3252,4,76314,0.26019881243276827,0.026000582959480472,1.0245778560638428,0.0027789484890254623,0.9135921001434326,-0.002998942028657145,0.8701272010803223
visualizing_soil,8641,5,224916,0.26065264310969766,0.0005833511789324465,0.9227240085601807,0.005230752311835103,0.695749044418335,0.001683606601254143,0.8509659767150879
twonorm,7400,21,1132260,0.9592262668811314,0.9084187125956342,0.991614818572998,0.9022293163100646,0.9887161254882812,0.9151477612038225,0.9382748603820801
thyroid-dis,2800,27,319250,-0.0058907507728909545,0.001596479388080026,0.9987561702728271,0.0077256770137601235,1.3303313255310059,0.009997929936365196,1.1507198810577393
thyroid-ann,3772,22,389672,0.661216710716638,-0.030000046853526894,0.913640022277832,-0.0193596774750385,0.813431978225708,-0.016562548948084913,0.8945050239562988
thyroid-allrep,2800,27,319250,-0.03719208938377969,0.014089774954115578,0.9844570159912109,0.0009944427890866397,1.1472718715667725,0.009830531006275595,1.1003267765045166
thyroid-allhypo,2800,27,319250,0.0037861808080023977,-0.0007683182291966504,0.9729599952697754,0.008935319667456339,0.8942883014678955,0.009640994135942764,0.9247260093688965
thyroid-allhyper,2800,27,319250,-0.008681613842305558,-0.012678520639302119,1.0532498359680176,-0.00017812902218733757,1.5497100353240967,-0.009922447366083526,1.0529699325561523
thyroid-allbp,2800,27,319250,-0.031218807268415777,0.0007319569618370571,1.0410752296447754,0.014047273473270045,1.0035748481750488,0.009747174287715593,1.0536489486694336
texture,5500,41,1921705,0.4595108281992266,0.6902128933965507,1.721841812133789,0.3883839890938385,1.9273221492767334,0.45290990520452745,1.13885498046875
sylvine,5124,21,625372,0.0016385857865561155,0.0022280267104603443,0.9798798561096191,-5.040707242285706e-06,1.7376539707183838,-0.00011596067801381798,0.9645397663116455
steel-plates-fault,1941,34,385238,-0.02406826322233297,0.02598381902725701,0.9272079467773438,-0.00541264750641607,1.0109508037567139,0.004180136848314644,1.0450949668884277
splice,3190,61,772758,0.22389014359896695,0.16094103822672393,1.1040918827056885,0.2511350969161749,1.2616989612579346,0.4482918802569211,0.9465291500091553
spambase,4601,58,1144029,4.1863777768490565e-05,0.18458888812481034,1.1219639778137207,0.0003178408854528232,1.2943596839904785,0.1850732918573925,1.056551218032837
space_ga,3107,7,207178,0.03162404172978049,0.13109957293549704,0.9009301662445068,0.02350063268295219,1.4441988468170166,0.02491645038400832,0.8890800476074219
solar_flare_2,1066,13,28028,0.09501357430074012,0.43226348639665707,0.896481990814209,0.16937126293003332,0.6843159198760986,0.12855556691714154,0.8709979057312012
solar-flare,1066,13,53612,0.10005942662051458,0.2295879777197739,0.9093549251556396,0.13605924383911341,0.5247752666473389,0.28820235619898443,0.864285945892334
socmob,1156,6,26855,0.2388512404375103,0.5454005043140633,0.8797731399536133,0.2972313688493391,0.43587398529052734,0.11486285664217841,0.8617451190948486
