Filename,Row,Columm,Mode,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,,,,M2,2180.650050163269,-0.0024129708026346,,,,,,
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,,,,M2,2228.658989906311,0.0159223557665648,,,,,,
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,Default,,,,M2,1803.8110229969025,-0.0178996033730368,,,,,,
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,,,,M2,1539.1731629371643,-0.0395386451213049,,,,,,
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,,,,M2,1320.5135037899015,-0.0584642345224457,,,,,,
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,,,,M2,1318.5157918930054,-0.0310104281860962,,,,,,
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,Default,,,,M2,2897.6656260490417,0.0065479059391357,,,,,,
BNG(mushroom)_OpenML,1000000,22,Default,,,,M2,1703.7904250621796,0.0036196223638954,,,,,,
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,Default,,,,M2,1878.218106985092,0.0,,,,,,
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,Default,,,,M2,1691.3834989070892,0.0678467213320684,,,,,,
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,Default,,,,M2,1730.818591117859,0.0012348786511512,,,,,,
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,Default,,,,M2,1609.889736175537,-0.0194753656955546,,,,,,
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,,,,M2,2144.270391225815,0.0285356125702746,,,,,,
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,Default,,,,M2,2588.285922050476,0.0,,,,,,
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,Default,,,,M2,2147.07821726799,0.0039395403527178,,,,,,
BNG(segment)_OpenML,1000000,19,Default,,,,M2,1986.5903811454773,0.0793857401502115,,,,,,
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,Default,,,,M2,3164.5565659999847,1.2701821881021788e-05,,,,,,
BNG(soybean)_OpenML,1000000,35,Default,,,,M2,2196.1346292495728,-0.0391999641419004,,,,,,
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,,,,M2,1377.5610370635986,0.0012086342827768,,,,,,
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,,,,M2,1419.237548828125,0.0017661634332136,,,,,,
BNG(trains)_OpenML,1000000,32,Default,,,,M2,2703.7264461517334,0.0006859468256061,,,,,,
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,,,,M2,1379.037705898285,0.0015410295053824,,,,,,
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,,,,M2,1589.9381358623505,0.008397517214327,,,,,,
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,Default,,,,M2,1607.0365879535675,-0.0112381068349897,,,,,,
BNG(vote)_OpenML,131072,16,Default,,,,M2,40.27498602867127,0.010223118154965,,,,,,
BNG(ionosphere)_OpenML,1000000,34,Default,,,,M2,2367.615437030792,-0.0641191304504097,,,,,,
