Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
volcanoes-d1,8753,4,206729,0.022784881714659755,2.1809827647527082e-05,0.816256046295166,0.0005592553843077371,1.975005865097046,0,0
volcanoes-b5,9989,4,233029,0.00032924565986151567,0.10482556158463652,0.8718090057373047,-9.259825100213224e-06,1.613142967224121,0,0
volcanoes-a4,1515,4,35545,0.19072664429181435,0.0008651280881403394,0.8184897899627686,-0.006254141261257763,0.47373294830322266,0,0
volcanoes-a3,1521,4,35840,0.004042181619039887,0.16167850747090026,0.8606939315795898,0.005092723502972804,0.4997091293334961,0,0
volcanoes-a2,1623,4,38056,-0.001962603144863429,0.1405543034400828,0.8126561641693115,-0.009560488020210997,0.61965012550354,0,0
volcanoes-a1,3252,4,76314,0.04511982400073955,7.754243041998805e-05,0.82651686668396,-0.019327003074415778,0.5550007820129395,0,0
visualizing_soil,8641,5,224916,0.2476204705932935,0.0005717534416582102,0.8534910678863525,0.005929827742985667,0.6783289909362793,0,0
visualizing_slope,44,4,1173,0.0,0.2841918294849023,0.7904000282287598,0.0,0.2766129970550537,0,0
visualizing_livestock,130,3,1409,0.6369904838989221,0.00471309979848606,0.7907729148864746,-0.009297643869916165,0.7199289798736572,0,0
visualizing_hamster,73,6,3364,0.09541116155785144,-0.015334373831513311,0.8015060424804688,-0.0012539136425030284,0.39540815353393555,0,0
visualizing_galaxy,323,5,11228,0.4508355392972195,-0.0023217319060006335,0.7888650894165039,0.0008430807987034662,0.4442887306213379,0,0
visualizing_ethanol,88,3,1219,0.5573132548559476,-0.002066417650193649,0.8055071830749512,0.02567275224999679,0.4211592674255371,0,0
visualizing_environmental,111,4,2002,0.4306670328360684,-0.0028421936567405207,0.7892217636108398,0.010167553775821314,0.5556778907775879,0,0
veteran,137,8,4489,0.005903702359052864,-0.0006075348177511047,0.7914888858795166,-0.012604558683582474,0.6310641765594482,0,0
vertebra-column,310,7,19680,0.08736451798828919,0.024730300269733167,0.8052749633789062,-0.010889404799141186,0.6485109329223633,0,0
vehicle,846,19,83790,0.6316459365882675,0.1463028424945481,0.8168759346008301,0.08913763187464398,0.6218340396881104,0,0
white-clover,63,32,10327,-0.037378637033152626,0.1129346952829106,0.814216136932373,-0.1319586071455548,0.5882751941680908,0,0
vineyard,52,3,579,0.002577268622578455,0.3435854279120836,0.7926020622253418,0.002577268622578455,0.3056831359863281,0,0
user-knowledge,403,6,10717,0.207459334702689,0.4104281888520671,0.8701319694519043,0.07135762779015851,0.5355749130249023,0,0
tokyo1,959,45,291005,-0.09692961066582559,-0.01919448993730979,0.8698689937591553,0.18007645971680122,0.8374159336090088,0,0
tic_tac_toe,958,10,19194,0.024588192872833373,0.019244958370005685,0.8167102336883545,0.0002064342021283124,0.40385890007019043,0,0
tic-tac-toe,958,10,36582,-0.0014957193832465345,0.018250230978707423,0.8136401176452637,0.0008835101006788278,0.8044788837432861,0,0
thyroid-new,215,6,5291,0.6237065603690294,0.3882929419074061,0.81827712059021,0.41819797524524466,0.4187610149383545,0,0
thyroid-ann,3772,22,389672,1.0,-0.01747426259076773,0.8561837673187256,-0.01747426259076773,1.1257998943328857,0,0
threeOf9,512,10,19490,0.0014107758211251323,0.01028724000268313,0.8131279945373535,0.0007754500007696176,0.4513978958129883,0,0
thoracic_surgery,470,17,32334,-0.0272898660489488,-0.022222501762956526,0.8215820789337158,0.04598595505004033,0.46831798553466797,0,0
thoracic-surgery,470,17,32303,0.28094202751125025,-0.02204643994710869,0.8084819316864014,-0.0557552766801193,0.4676249027252197,0,0
strikes,625,7,20221,0.08123916258331583,-8.13489853836903e-05,0.8463788032531738,0.0024926910329095145,0.4777200222015381,0,0
stock,950,10,55384,0.8155458062184019,0.11786596587398798,0.8180332183837891,0.08704945339751567,0.48868799209594727,0,0
steel-plates-fault,1941,34,385238,-0.0017537769842343894,0.025714993501222805,0.863245964050293,-0.023196330007731747,0.7429821491241455,0,0
splice,3190,61,772758,0.11985747992961909,0.22373537402203736,0.947373628616333,0.08660389791358582,1.5984370708465576,0,0
spectrometer,531,102,534037,0.34950701280805974,0.07464435623752556,0.8685340881347656,0.04454429126060503,0.7597761154174805,0,0
spambase,4601,58,1144029,-0.001973401308359876,0.22802239814924988,1.0703051090240479,0.05803365076076244,1.3194470405578613,0,0
space_ga,3107,7,207178,0.22576480066153584,0.13212603257639102,0.8391470909118652,0.011290655162628652,0.7768819332122803,0,0
sonar,208,61,89192,-0.03052506971114778,0.012104946051410178,0.8041660785675049,0.005781235011777412,0.7204220294952393,0,0
solar_flare_2,1066,13,28028,0.31023284141829943,0.031628983683843905,0.8219447135925293,0.07547978812936564,0.4942789077758789,0,0
solar_flare_1,315,13,8502,0.1011768373399113,0.018128345208388703,0.819127082824707,0.07772658244632556,0.31900501251220703,0,0
solar-flare,1066,13,53612,0.15151892441350162,0.03128465544476152,0.8045969009399414,0.1005004412892802,0.4214620590209961,0,0
socmob,1156,6,26855,0.16882845721655854,0.550126088454108,0.8036179542541504,0.2040104207264882,0.466310977935791,0,0
