Name,Time,Memory_Physical,Memory_Virtual
python3.11,1685672355.399731,9926.34609375,166984.7109375
python3.11,1685672365.463486,9611.1890625,170043.9109375
python3.11,1685672375.562987,9249.86171875,173115.9109375
python3.11,1685672385.666462,8896.880078125,176251.9109375
python3.11,1685672395.7529678,8559.50703125,179323.9109375
python3.11,1685672405.837204,8152.058984375,182306.3109375
python3.11,1685672415.929308,7794.707421875,185301.5109375
python3.11,1685672426.0459409,7340.00703125,188296.7109375
python3.11,1685672436.129035,6927.703125,191330.3109375
python3.11,1685672446.212954,6534.70859375,194248.7109375
python3.11,1685672456.303287,6262.91015625,197269.5109375
python3.11,1685672466.40359,5934.51953125,200418.3109375
python3.11,1685672476.5054982,5498.828125,203528.7109375
python3.11,1685672486.5778172,5406.0046875,206383.1109375
python3.11,1685672496.6534772,5329.193359375,208955.9109375
python3.11,1685672506.730325,5051.3765625,211375.1109375
python3.11,1685672516.825585,4894.94375,213817.1109375
python3.11,1685672526.935403,5747.324609375,220883.1109375
python3.11,1685672537.046586,6222.386328125,229792.4109375
python3.11,1685672547.128303,6073.758203125,234055.3109375
python3.11,1685672557.232353,6425.733203125,237576.1109375
python3.11,1685672567.3191721,6578.709375,263790.7109375
python3.11,1685672577.419022,4646.14453125,252322.0109375
python3.11,1685672587.505895,7076.5671875,247407.7109375
python3.11,1685672597.653375,6033.189453125,247408.3109375
python3.11,1685672607.761945,6238.480859375,247408.7109375
python3.11,1685672617.858909,6330.015625,247409.6109375
python3.11,1685672627.969841,6297.515234375,247409.9109375
python3.11,1685672638.071678,6364.658203125,247410.7109375
python3.11,1685672648.15669,4841.811328125,215419.4109375
python3.11,1685672658.2745018,1398.05703125,81098.1109375
python3.11,1685672668.373253,2079.128515625,55349.4109375
python3.11,1685672678.448834,3957.68203125,56200.7109375
python3.11,1685672688.541883,6811.186328125,59963.9109375
python3.11,1685672698.658025,8688.305859375,62447.1109375
python3.11,1685672708.753726,10474.73125,65007.1109375
python3.11,1685672718.842477,12621.49296875,67848.7109375
python3.11,1685672728.9052072,14697.06015625,70767.1109375
python3.11,1685672738.9999669,16812.22421875,73659.9109375
python3.11,1685672749.104104,18725.24375,76450.3109375
python3.11,1685672759.1922848,20566.2875,79138.3109375
python3.11,1685672769.286317,20841.346875,81967.1109375
python3.11,1685672779.3538618,20481.171484375,84885.5109375
python3.11,1685672789.439636,20146.48515625,87675.9109375
